datetime,date,year,month,day,estacion,lat,lon,elevation,pm25,validado,pm25_validado,pm25_preliminar,archivo,era5_temperature_2m,era5_dewpoint_temperature_2m,era5_surface_pressure,era5_u_component_of_wind_10m,era5_v_component_of_wind_10m,era5_total_precipitation_hourly,modis_aod,s5p_no2
2019-01-01,2019-01-01,2019,1,1,Cerro Navia,-33.42,-70.74,485,16.0,True,16.0,,datos_080510_251112.csv,295.0664555019803,283.72328287760416,94179.8873372396,1.407513893975152,0.5913168509801229,4.380244695731703e-06,127.25,-0.01346215968139446
2019-01-01,2019-01-01,2019,1,1,El Bosque,-33.56,-70.69,580,28.0,True,28.0,,datos_080509_221115.csv,295.36877212524416,283.70230577256945,94272.17483723958,1.3303417205810546,0.4747403807110256,2.9651517837465174e-06,166.77083333333334,-0.013805736051616797
2019-01-01,2019-01-01,2019,1,1,Independencia,-33.41,-70.66,540,14.0,True,14.0,,datos_000101_251112 (1).csv,295.2634878370497,283.78569878472223,93951.91789279514,1.3034564124213324,0.6263395018047757,5.478812108690908e-06,149.66666666666666,-0.026646648873874478
2019-01-01,2019-01-01,2019,1,1,Las Condes,-33.4,-70.58,700,21.0,True,21.0,,datos_080521_251112.csv,294.0397329542372,282.79681532118053,90267.56928168405,1.0006081051296658,0.5740784883499146,1.8539990335956585e-05,155.44897959183675,-0.0622983873731456
2019-01-01,2019-01-01,2019,1,1,Parque O'Higgins,-33.46,-70.65,525,56.0,True,56.0,,datos_970402_251112.csv,295.2634878370497,283.78569878472223,93951.91789279514,1.3034564124213324,0.6263395018047757,5.478812108690908e-06,166.94,-0.0013718905722423457
2019-01-01,2019-01-01,2019,1,1,Pudahuel,-33.44,-70.77,475,17.0,True,17.0,,datos_160422_251112.csv,295.0664555019803,283.72328287760416,94179.8873372396,1.407513893975152,0.5913168509801229,4.380244695731703e-06,158.3877551020408,-0.018053813266960393
2019-01-01,2019-01-01,2019,1,1,Talagante,-33.66,-70.93,355,12.0,True,12.0,,datos_080526_251112.csv,294.9773550245497,283.69813368055554,96201.36511501735,1.5141043345133465,0.2862916231155396,5.083062102650971e-06,154.20408163265307,-0.137132903979802
2019-01-02,2019-01-02,2019,1,2,Cerro Navia,-33.42,-70.74,485,17.0,True,17.0,,datos_080510_251112.csv,295.0664555019803,283.72328287760416,94179.8873372396,1.407513893975152,0.5913168509801229,4.380244695731703e-06,127.25,-0.01346215968139446
2019-01-02,2019-01-02,2019,1,2,El Bosque,-33.56,-70.69,580,27.0,True,27.0,,datos_080509_221115.csv,295.36877212524416,283.70230577256945,94272.17483723958,1.3303417205810546,0.4747403807110256,2.9651517837465174e-06,166.77083333333334,-0.013805736051616797
2019-01-02,2019-01-02,2019,1,2,Independencia,-33.41,-70.66,540,12.0,True,12.0,,datos_000101_251112 (1).csv,295.2634878370497,283.78569878472223,93951.91789279514,1.3034564124213324,0.6263395018047757,5.478812108690908e-06,149.66666666666666,-0.026646648873874478
2019-01-02,2019-01-02,2019,1,2,Las Condes,-33.4,-70.58,700,15.0,True,15.0,,datos_080521_251112.csv,294.0397329542372,282.79681532118053,90267.56928168405,1.0006081051296658,0.5740784883499146,1.8539990335956585e-05,155.44897959183675,-0.0622983873731456
2019-01-02,2019-01-02,2019,1,2,Parque O'Higgins,-33.46,-70.65,525,60.0,True,60.0,,datos_970402_251112.csv,295.2634878370497,283.78569878472223,93951.91789279514,1.3034564124213324,0.6263395018047757,5.478812108690908e-06,166.94,-0.0013718905722423457
2019-01-02,2019-01-02,2019,1,2,Pudahuel,-33.44,-70.77,475,13.0,True,13.0,,datos_160422_251112.csv,295.0664555019803,283.72328287760416,94179.8873372396,1.407513893975152,0.5913168509801229,4.380244695731703e-06,158.3877551020408,-0.018053813266960393
2019-01-02,2019-01-02,2019,1,2,Talagante,-33.66,-70.93,355,14.0,True,14.0,,datos_080526_251112.csv,294.9773550245497,283.69813368055554,96201.36511501735,1.5141043345133465,0.2862916231155396,5.083062102650971e-06,154.20408163265307,-0.137132903979802
2019-01-03,2019-01-03,2019,1,3,Cerro Navia,-33.42,-70.74,485,22.0,True,22.0,,datos_080510_251112.csv,295.0664555019803,283.72328287760416,94179.8873372396,1.407513893975152,0.5913168509801229,4.380244695731703e-06,127.25,-0.01346215968139446
2019-01-03,2019-01-03,2019,1,3,El Bosque,-33.56,-70.69,580,29.0,True,29.0,,datos_080509_221115.csv,295.36877212524416,283.70230577256945,94272.17483723958,1.3303417205810546,0.4747403807110256,2.9651517837465174e-06,166.77083333333334,-0.013805736051616797
2019-01-03,2019-01-03,2019,1,3,Independencia,-33.41,-70.66,540,18.0,True,18.0,,datos_000101_251112 (1).csv,295.2634878370497,283.78569878472223,93951.91789279514,1.3034564124213324,0.6263395018047757,5.478812108690908e-06,149.66666666666666,-0.026646648873874478
2019-01-03,2019-01-03,2019,1,3,Las Condes,-33.4,-70.58,700,18.0,True,18.0,,datos_080521_251112.csv,294.0397329542372,282.79681532118053,90267.56928168405,1.0006081051296658,0.5740784883499146,1.8539990335956585e-05,155.44897959183675,-0.0622983873731456
2019-01-03,2019-01-03,2019,1,3,Parque O'Higgins,-33.46,-70.65,525,85.0,True,85.0,,datos_970402_251112.csv,295.2634878370497,283.78569878472223,93951.91789279514,1.3034564124213324,0.6263395018047757,5.478812108690908e-06,166.94,-0.0013718905722423457
