horizon,n_predictions,r2,rmse,mae,mape,model
1,15128.0,0.7637717420061467,14.06194126005474,8.540072290702575,30.727971583797036,XGBoost
1,,0.7362341846370779,14.808078852923416,9.131549951028404,,Persistencia
1,,0.6399621109763602,17.300695684150657,11.040309083904017,,Media 30d
3,15110.0,0.7406171172685173,14.73047039158827,9.03658435361264,33.37425631613451,XGBoost
3,,0.4346450057449056,21.68228839172565,13.690625,,Persistencia
3,,0.6132228141124059,17.93390747060975,11.48282686132547,,Media 30d
7,15074.0,0.7436769120152324,14.61936011902725,8.915584296529799,33.01113428021385,XGBoost
7,,0.360716961162561,23.05678024838674,14.510375736738704,,Persistencia
7,,0.5884479750732536,18.499689564820244,11.911185896453135,,Media 30d
