TP,TN,FP,FN,Precision,Recall,F1-Score,Specificity,Accuracy,False_Alarm_Rate,Total_Episodes,Detected_Episodes,Season
8,3431,16,39,0.3333333333333333,0.1702127659574468,0.22535211267605634,0.9953582825645488,0.9842587292501431,0.004641717435451117,47,24,Verano
186,3089,50,166,0.788135593220339,0.5284090909090909,0.6326530612244898,0.9840713603058299,0.9381266112861644,0.01592863969417012,352,236,Otoño
465,3159,223,232,0.6758720930232558,0.667144906743185,0.6714801444043321,0.9340626848018924,0.8884530522186811,0.06593731519810762,697,688,Invierno
24,3972,18,50,0.5714285714285714,0.32432432432432434,0.41379310344827586,0.9954887218045113,0.9832677165354331,0.004511278195488722,74,42,Primavera
