model,version,n_features,r2,rmse,mae
Lasso,Baseline,13,-0.6940890175490713,25.080531116844927,20.977217340714848
Lasso,Enhanced,18,-37.90059564627205,63.00239763174792,59.426827824792184
XGBoost,Baseline,13,-1.8705837531938287,26.281246299290864,22.259570722946396
XGBoost,Enhanced,18,-2.225591037689129,28.186411178037904,23.815485868772573
