station,n_test,r2,rmse,mae
Cerrillos II,1287,-1.2609221020492067,51.557771118187105,45.3303514272845
Cerro Navia,2436,0.6742821201365057,12.231785969460121,7.862670241007194
El Bosque,904,-9.370405754809996,46.4547548534709,44.5942231946659
Independencia,2491,-4.002130037960141,44.92847660071301,43.43265935264004
Las Condes,2413,-3.7186104693246964,26.550718433182933,24.40309943125024
Parque O'Higgins,2460,-1.4821994061093524,48.1302459546588,42.87972372085205
Pudahuel,2432,-1.8040829356594625,27.099795667469724,24.637696545634974
Talagante,1921,-0.5208031971999996,21.75284151180264,20.01990791564056
