TP,TN,FP,FN,Precision,Recall,F1-Score,Specificity,Accuracy,False_Alarm_Rate,Total_Episodes,Detected_Episodes,Horizon
683,13651,307,487,0.6898989898989899,0.5837606837606838,0.6324074074074074,0.978005444906147,0.9475145425700687,0.021994555093852987,1170,990,1d
658,13633,311,508,0.6790505675954592,0.5643224699828473,0.6163934426229508,0.9776965002868617,0.9457974851091993,0.022303499713138268,1166,969,3d
651,13637,278,508,0.7007534983853606,0.5616911130284729,0.6235632183908046,0.9800215594681998,0.9478572376277034,0.019978440531800215,1159,929,7d
