Model,RMSE,MAE,R²,MAPE
XGBoost,14.061941250802532,8.540072286323374,0.7637717423170047,30.72797159632384
ARIMA,11.603534751414868,7.200442657650091,0.5823662987964431,18.654871210296886
Prophet,10.209544552580777,7.54480196309343,0.6766836555360406,22.39111795700346
