FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
001104;0000;19,9583;;;
001105;0000;12;;;
001106;0000;14,5417;;;
001107;0000;18,2917;;;
001108;0000;16,7083;;;
001109;0000;18,625;;;
001110;0000;19,5833;;;
001111;0000;11,4583;;;
001112;0000;10,3333;;;
001113;0000;12,2083;;;
001114;0000;23,75;;;
001115;0000;23,5;;;
001116;0000;30,75;;;
001117;0000;31,0417;;;
001118;0000;21,75;;;
001119;0000;14,375;;;
001120;0000;19,125;;;
001121;0000;25,625;;;
001122;0000;31;;;
001123;0000;22,0417;;;
001124;0000;20,5833;;;
001125;0000;27,2083;;;
001126;0000;19,4583;;;
001127;0000;13,75;;;
001128;0000;18,7083;;;
001129;0000;23,25;;;
001130;0000;26,625;;;
001201;0000;25,2917;;;
001202;0000;17,625;;;
001203;0000;17,4167;;;
001204;0000;19,375;;;
001205;0000;27,125;;;
001206;0000;19,7273;;;
001207;0000;23,375;;;
001208;0000;26,8333;;;
001209;0000;24,5833;;;
001210;0000;23,0833;;;
001211;0000;18,75;;;
001212;0000;19,625;;;
001213;0000;16,4583;;;
001214;0000;11,625;;;
001215;0000;14,9583;;;
001216;0000;25,25;;;
001217;0000;24,25;;;
001218;0000;22,5417;;;
001219;0000;23,3333;;;
001220;0000;22,125;;;
001221;0000;20,875;;;
001222;0000;19,125;;;
001223;0000;17,9583;;;
001224;0000;19,5;;;
001225;0000;9,5;;;
001226;0000;9,375;;;
001227;0000;16,125;;;
001228;0000;20,0417;;;
001229;0000;27,5833;;;
001230;0000;30,3333;;;
001231;0000;28,6087;;;
010101;0000;;;;
010102;0000;;;;
010103;0000;;;;
010104;0000;;;;
010105;0000;;;;
010106;0000;;;;
010107;0000;;;;
010108;0000;;;;
010109;0000;;;;
010110;0000;;;;
010111;0000;;;;
010112;0000;;;;
010113;0000;;;;
010114;0000;;;;
010115;0000;;;;
010116;0000;;;;
010117;0000;;;;
010118;0000;;;;
010119;0000;;;;
010120;0000;;;;
010121;0000;;;;
010122;0000;;;;
010123;0000;;;;
010124;0000;;;;
010125;0000;;;;
010126;0000;;;;
010127;0000;;;;
010128;0000;;;;
010129;0000;;;;
010130;0000;;;;
010131;0000;;;;
010201;0000;;;;
010202;0000;;;;
010203;0000;;;;
010204;0000;;;;
010205;0000;;;;
010206;0000;;;;
010207;0000;;;;
010208;0000;;;;
010209;0000;;;;
010210;0000;;;;
010211;0000;;;;
010212;0000;;;;
010213;0000;;;;
010214;0000;;;;
010215;0000;;;;
010216;0000;;;;
010217;0000;;;;
010218;0000;;;;
010219;0000;;;;
010220;0000;;;;
010221;0000;;;;
010222;0000;;;;
010223;0000;;;;
010224;0000;;;;
010225;0000;;;;
010226;0000;;;;
010227;0000;;;;
010228;0000;;;;
010301;0000;;;;
010302;0000;;;;
010303;0000;;;;
010304;0000;;;;
010305;0000;;;;
010306;0000;;;;
010307;0000;;;;
010308;0000;;;;
010309;0000;;;;
010310;0000;;;;
010311;0000;;;;
010312;0000;;;;
010313;0000;;;;
010314;0000;;;;
010315;0000;;;;
010316;0000;;;;
010317;0000;;;;
010318;0000;;;;
010319;0000;;;;
010320;0000;;;;
010321;0000;;;;
010322;0000;;;;
010323;0000;;;;
010324;0000;;;;
010325;0000;;;;
010326;0000;;;;
010327;0000;;;;
010328;0000;;;;
010329;0000;;;;
010330;0000;;;;
010331;0000;;;;
010401;0000;;;;
010402;0000;;;;
010403;0000;;;;
010404;0000;;;;
010405;0000;;;;
010406;0000;;;;
010407;0000;;;;
010408;0000;;;;
010409;0000;;;;
010410;0000;;;;
010411;0000;;;;
010412;0000;;;;
010413;0000;;;;
010414;0000;;;;
010415;0000;;;;
010416;0000;;;;
010417;0000;;;;
010418;0000;;;;
010419;0000;;;;
010420;0000;;;;
010421;0000;;;;
010422;0000;;;;
010423;0000;;;;
010424;0000;;;;
010425;0000;;;;
010426;0000;;;;
010427;0000;;;;
010428;0000;;;;
010429;0000;;;;
010430;0000;26,4167;;;
010501;0000;41,375;;;
010502;0000;56,4583;;;
010503;0000;79,375;;;
010504;0000;54,9167;;;
010505;0000;59,4583;;;
010506;0000;51,6667;;;
010507;0000;28,7083;;;
010508;0000;43,7083;;;
010509;0000;58,25;;;
010510;0000;39,875;;;
010511;0000;58,9524;;;
010512;0000;78,6667;;;
010513;0000;68,5;;;
010514;0000;54,8095;;;
