FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;19,5833;;;
000102;0000;17,0417;;;
000103;0000;20,5;;;
000104;0000;24,25;;;
000105;0000;17;;;
000106;0000;20,7083;;;
000107;0000;18,5417;;;
000108;0000;17,625;;;
000109;0000;18,6667;;;
000110;0000;22,4583;;;
000111;0000;29;;;
000112;0000;21;;;
000113;0000;18,0417;;;
000114;0000;11,0454;;;
000115;0000;10,625;;;
000116;0000;13,7083;;;
000117;0000;16,3;;;
000118;0000;25,8333;;;
000119;0000;26,4583;;;
000120;0000;29,8333;;;
000121;0000;22,625;;;
000122;0000;24,7273;;;
000123;0000;25,4348;;;
000124;0000;23,5;;;
000125;0000;26,4583;;;
000126;0000;31,25;;;
000127;0000;23,875;;;
000128;0000;18,75;;;
000129;0000;15,125;;;
000130;0000;12,7917;;;
000131;0000;15,5833;;;
000201;0000;11,5833;;;
000202;0000;13,3333;;;
000203;0000;19,0869;;;
000204;0000;17,7917;;;
000205;0000;14,2917;;;
000206;0000;16,7083;;;
000207;0000;24,375;;;
000208;0000;23,5417;;;
000209;0000;20,5417;;;
000210;0000;16,0833;;;
000211;0000;20,2917;;;
000212;0000;14,45;;;
000213;0000;19,9167;;;
000214;0000;24,3333;;;
000215;0000;19,7083;;;
000216;0000;24;;;
000217;0000;20,2917;;;
000218;0000;21,9583;;;
000219;0000;20,2083;;;
000220;0000;20,7083;;;
000221;0000;23,6522;;;
000222;0000;22,1667;;;
000223;0000;30,7083;;;
000224;0000;22,9583;;;
000225;0000;21,3333;;;
000226;0000;10,3333;;;
000227;0000;10,0833;;;
000228;0000;21,4091;;;
000229;0000;23,1667;;;
000301;0000;18,0833;;;
000302;0000;22,1304;;;
000303;0000;30,2083;;;
000304;0000;40,0833;;;
000305;0000;40,0416;;;
000306;0000;36,5;;;
000307;0000;35,75;;;
000308;0000;27,75;;;
000309;0000;22,5;;;
000310;0000;23,0417;;;
000311;0000;23,8333;;;
000312;0000;15,75;;;
000313;0000;12,5;;;
000314;0000;21,25;;;
000315;0000;23,875;;;
000316;0000;17,2917;;;
000317;0000;24,7083;;;
000318;0000;30,875;;;
000319;0000;22,25;;;
000320;0000;16,875;;;
000321;0000;41,2727;;;
000322;0000;35,3333;;;
000323;0000;19,7083;;;
000324;0000;33,375;;;
000325;0000;42;;;
000326;0000;31,125;;;
000327;0000;24,375;;;
000328;0000;39,0416;;;
000329;0000;43,7916;;;
000330;0000;35,25;;;
000331;0000;43,5833;;;
000401;0000;56,8333;;;
000402;0000;20,75;;;
000403;0000;21,8333;;;
000404;0000;30,3333;;;
000405;0000;39,7083;;;
000406;0000;31,4545;;;
000407;0000;33,8333;;;
000408;0000;28,0833;;;
000409;0000;29,7083;;;
000410;0000;33,0833;;;
000411;0000;62,6364;;;
000412;0000;70;;;
000413;0000;35,8333;;;
000414;0000;30,5;;;
000415;0000;23,9583;;;
000416;0000;27,0417;;;
000417;0000;41,5416;;;
000418;0000;64,2083;;;
000419;0000;50,6364;;;
