FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080509;0000;;;58,8923;
080510;0000;;;115,795;
080511;0000;;;115,67;
080512;0000;;;127,375;
080513;0000;;;119,212;
080514;0000;;;145,698;
080515;0000;;;156,33;
080516;0000;;;136,524;
080517;0000;;;71,7429;
080518;0000;;;81,9061;
080519;0000;;;32,894;
080520;0000;;;67,6521;
080521;0000;;;27,2465;
080522;0000;;;56,2499;
080523;0000;;;37,1961;
080524;0000;;;71,7949;
080525;0000;;;76,5068;
080526;0000;;;61,7968;
080527;0000;;;19,5069;
080528;0000;;;64,9479;
080529;0000;;;105,92;
080530;0000;;;95,0381;
080531;0000;;;125,285;
080601;0000;;;87,2222;
080602;0000;;;88,4912;
080603;0000;;;111,83;
080604;0000;;;37,8333;
080605;0000;;;16,4167;
080606;0000;;;28,4618;
080607;0000;;;23,4896;
080608;0000;;;23,9548;
080609;0000;;;27,8229;
080610;0000;;;38,2499;
080611;0000;;;38,25;
080612;0000;;;44,625;
080613;0000;;;51,8368;
080614;0000;;;44,625;
080615;0000;;;50,9271;
080616;0000;;;34,2916;
080617;0000;;;76,4583;
080618;0000;;;52,7291;
080619;0000;;;12,7535;
080620;0000;;;37,3437;
080621;0000;;;54,3229;
080622;0000;;;50,7083;
080623;0000;;;59,2465;
080624;0000;;;63,9305;
080625;0000;;;63,7465;
080626;0000;;;46,3784;
080627;0000;;;58,8368;
080628;0000;;;58,4062;
080629;0000;;;51,4201;
080630;0000;;;77,7585;
080701;0000;;;65,0728;
080702;0000;;;49,7014;
080703;0000;;;37,7325;
080704;0000;;;30,1667;
080705;0000;;;38,4271;
080706;0000;;;54,7152;
080707;0000;;;47,5485;
080708;0000;;;66,7186;
080709;0000;;;43,8715;
080710;0000;;;49,9235;
080711;0000;;;47,9583;
080712;0000;;;35,7916;
080713;0000;;;21,9166;
080714;0000;;;35,1874;
080715;0000;;;36,4027;
080716;0000;;;35,4722;
080717;0000;;;8,5486;
080718;0000;;;40,4444;
080719;0000;;;57,1388;
080720;0000;;;37,3437;
080721;0000;;;36,9895;
080722;0000;;;41,1388;
080723;0000;;;15,8298;
080724;0000;;;39,743;
080725;0000;;;48,2985;
080726;0000;;;46,6249;
080727;0000;;;35,7673;
080728;0000;;;53,8333;
080729;0000;;;47,9965;
080730;0000;;;53,0347;
080731;0000;;;46,3333;
080801;0000;;;24,3646;
080802;0000;;;15,0139;
080803;0000;;;25,868;
080804;0000;;;23,6875;
080805;0000;;;26,9895;
080806;0000;;;38,92;
080807;0000;;;37,8298;
080808;0000;;;39,5361;
080809;0000;;;50,2776;
080810;0000;;;52,2048;
080811;0000;;;28,2569;
080812;0000;;;33,0833;
080813;0000;;;41,3541;
080814;0000;;;46,9374;
080815;0000;;;18,8506;
080816;0000;;;6,10763;
080817;0000;;;18,2014;
080818;0000;;;20,4548;
080819;0000;;;16,5208;
080820;0000;;;17,0451;
080821;0000;;;26,6875;
080822;0000;;;36,7187;
080823;0000;;;27,6041;
080824;0000;;;29,1597;
080825;0000;;;28,7743;
080826;0000;;;16,25;
080827;0000;;;8,78819;
080828;0000;;;11,8437;
080829;0000;;;30,3923;
080830;0000;;;29,2361;
080831;0000;;;33,177;
080901;0000;;;15,993;
080902;0000;;;10,0382;
080903;0000;;;13,1944;
080904;0000;;;20,0937;
080905;0000;;;19,9271;
080906;0000;;;29,9166;
080907;0000;;;28,868;
080908;0000;;;29,3923;
080909;0000;;;26,6666;
080910;0000;;;17;
080911;0000;;;20,3125;
080912;0000;;;46,1423;
080913;0000;;;35,8506;
080914;0000;;;33,0867;
080915;0000;;;29,05;
080916;0000;;;31,2777;
080917;0000;;;25,5034;
080918;0000;;;21,0798;
080919;0000;;;22,0729;
080920;0000;;;27,1597;
080921;0000;;;27,309;
080922;0000;;;30,9166;
080923;0000;;;25,2534;
080924;0000;;;31,8333;
080925;0000;;;30,1944;
080926;0000;;;12,6146;
080927;0000;;;14,4896;
080928;0000;;;16,2048;
080929;0000;;;20,368;
080930;0000;;;16,4305;
081001;0000;;;15,743;
081002;0000;;;19,7847;
081003;0000;;;16,2607;
081004;0000;;;19,5417;
081005;0000;;;18,0139;
081006;0000;;;20,9618;
081007;0000;;;25;
081008;0000;;;26,0347;
081009;0000;;;29,743;
081010;0000;;;25,4479;
081011;0000;;;16,8472;
081012;0000;;;16,3368;
081013;0000;;;14,434;
081014;0000;;;17,7083;
081015;0000;;;19,8368;
081016;0000;;;24,5798;
081017;0000;;;27,8333;
081018;0000;;;26,5347;
081019;0000;;;18,3541;
081020;0000;;;12,5208;
081021;0000;;;13,3576;
081022;0000;;;20,8507;
081023;0000;;;25,8715;
081024;0000;;;25,4132;
081025;0000;;;19,9132;
081026;0000;;;21,5451;
081027;0000;;;19,9201;
081028;0000;;;13,243;
081029;0000;;;18,7986;
081030;0000;;;24,0694;
081031;0000;;;25,6284;
081101;0000;;;23,2152;
081102;0000;;;20,9236;
081103;0000;;;20,9896;
081104;0000;;;24,6111;
081105;0000;;;19,8298;
081106;0000;;;17,618;
081107;0000;;;16,3333;
081108;0000;;;13,7743;
081109;0000;;;16,8576;
081110;0000;;;19,4757;
081111;0000;;;22,1528;
081112;0000;;;22,3333;
081113;0000;;;23,7604;
081114;0000;;;19,9201;
081115;0000;;;16,6493;
081116;0000;;;22,5868;
081117;0000;;;21,5034;
081118;0000;;;28,2361;
081119;0000;;;22,9166;
081120;0000;;;19,9444;
081121;0000;;;20,3194;
081122;0000;;;14,0729;
081123;0000;;;16,1284;
081124;0000;;;18,8055;
081125;0000;;;19,8507;
081126;0000;;;23,2014;
081127;0000;;;14,9305;
081128;0000;;;12,5417;
081129;0000;;;13,6111;
081130;0000;;;14,868;
081201;0000;;;17,125;
081202;0000;;;19,4239;
081203;0000;;;22,8267;
081204;0000;;;21,8229;
081205;0000;;;21,0104;
081206;0000;;;20,9826;
081207;0000;;;16,243;
081208;0000;;;12,2847;
081209;0000;;;16,2847;
081210;0000;;;20,2396;
081211;0000;;;25,8646;
081212;0000;;;21,2083;
081213;0000;;;20,5382;
081214;0000;;;21,2986;
081215;0000;;;15,5903;
081216;0000;;;17,9305;
081217;0000;;;21,618;
081218;0000;;;21,1528;
081219;0000;;;22,5382;
081220;0000;;;16,5798;
081221;0000;;;16,375;
081222;0000;;;19,5555;
081223;0000;;;23,875;
081224;0000;;;21,8715;
081225;0000;;;18,5798;
081226;0000;;;20,8194;
081227;0000;;;28,1076;
081228;0000;;;17,7534;
081229;0000;;;23,8958;
081230;0000;;;24,6875;
081231;0000;;;30,2881;
090101;0000;29,625;;;
090102;0000;24,2083;;;
090103;0000;26,7083;;;
090104;0000;25,1667;;;
090105;0000;18,8333;;;
090106;0000;12,7083;;;
090107;0000;16,9167;;;
090108;0000;19,0833;;;
090109;0000;20,375;;;
090110;0000;24,5789;;;
090111;0000;19,5417;;;
090112;0000;19,4583;;;
090113;0000;22,125;;;
090114;0000;15,6667;;;
090115;0000;20,9583;;;
090116;0000;19,6667;;;
090117;0000;25,9167;;;
090118;0000;19,5833;;;
090119;0000;21,4583;;;
090120;0000;25,7083;;;
090121;0000;26,125;;;
090122;0000;26,4167;;;
090123;0000;31,2917;;;
090124;0000;20,125;;;
090125;0000;16,1667;;;
090126;0000;21,5833;;;
090127;0000;27,875;;;
090128;0000;30,6667;;;
090129;0000;26,5;;;
090130;0000;23,7917;;;
090131;0000;22,7083;;;
090201;0000;20,5417;;;
090202;0000;19,625;;;
