FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080526;0000;;;18,4271;
080527;0000;;;7,94907;
080528;0000;;;;
080529;0000;;;45,743;
080530;0000;;;45,934;
080531;0000;;;67,6353;
080601;0000;;;57,4669;
080602;0000;;;33,1527;
080603;0000;;;54,8714;
080604;0000;;;19,6458;
080605;0000;;;16,1111;
080606;0000;;;20,6215;
080607;0000;;;22,2014;
080608;0000;;;33,9062;
080609;0000;;;30,5798;
080610;0000;;;32,5729;
080611;0000;;;38,8055;
080612;0000;;;53,7708;
080613;0000;;;58,6318;
080614;0000;;;39,6631;
080615;0000;;;48,3124;
080616;0000;;;48,0034;
080617;0000;;;33,3159;
080618;0000;;;29,6249;
080619;0000;;;15,8229;
080620;0000;;;25,7152;
080621;0000;;;47,9999;
080622;0000;;;68,6283;
080623;0000;;;69,953;
080624;0000;;;69,9287;
080625;0000;;;73,4617;
080626;0000;;;51,927;
080627;0000;;;46,7534;
080628;0000;;;82,3228;
080629;0000;;;75,729;
080630;0000;;;59,7742;
080701;0000;;;68,4894;
080702;0000;;;49,7464;
080703;0000;;;43,2985;
080704;0000;;;19,2292;
080705;0000;;;44,0277;
080706;0000;;;48,7916;
080707;0000;;;32,7638;
080708;0000;;;45,8958;
080709;0000;;;48,6423;
080710;0000;;;;
080711;0000;;;40,7274;
080712;0000;;;31,743;
080713;0000;;;31,6145;
080714;0000;;;33,7465;
080715;0000;;;23,6701;
080716;0000;;;19,4965;
080717;0000;;;10,5781;
080718;0000;;;29,4826;
080719;0000;;;51,3541;
080720;0000;;;41,1562;
080721;0000;;;46,1909;
080722;0000;;;31,0902;
080723;0000;;;18,8229;
080724;0000;;;30,2395;
080725;0000;;;41,8575;
080726;0000;;;41,0277;
080727;0000;;;25,9722;
080728;0000;;;43,1371;
080729;0000;;;35,9096;
080730;0000;;;35,059;
080731;0000;;;27,2013;
080801;0000;;;9,33333;
080802;0000;;;6,09027;
080803;0000;;;19,2152;
080804;0000;;;14,7708;
080805;0000;;;22,618;
080806;0000;;;32,8541;
080807;0000;;;30,8958;
080808;0000;;;41,8819;
080809;0000;;;43,9652;
080810;0000;;;38,2465;
080811;0000;;;25,8159;
080812;0000;;;31,1076;
080813;0000;;;40,1874;
080814;0000;;;32,2812;
080815;0000;;;17,3646;
080816;0000;;;8,64929;
080817;0000;;;20,4166;
080818;0000;;;9,53471;
080819;0000;;;6,59721;
080820;0000;;;13,1528;
080821;0000;;;19,5764;
080822;0000;;;25,3368;
080823;0000;;;17,4409;
080824;0000;;;37,4722;
080825;0000;;;17,2777;
080826;0000;;;9,09027;
080827;0000;;;4,74305;
080828;0000;;;8,17708;
080829;0000;;;28,9826;
080830;0000;;;27,2882;
080831;0000;;;12,9514;
080901;0000;;;6,16666;
080902;0000;;;7,11805;
080903;0000;;;8,84373;
080904;0000;;;15,0417;
080905;0000;;;7,24652;
080906;0000;;;27,1771;
080907;0000;;;23,5;
080908;0000;;;13,4583;
080909;0000;;;1,07986;
080910;0000;;;10,1632;
080911;0000;;;16,0659;
080912;0000;;;28,3958;
080913;0000;;;29,5555;
080914;0000;;;26,0764;
080915;0000;;;27,9131;
080916;0000;;;26,2847;
080917;0000;;;11,684;
080918;0000;;;9,52081;
080919;0000;;;16,5972;
080920;0000;;;24,8472;
080921;0000;;;26,8368;
080922;0000;;;18,1701;
080923;0000;;;14,6423;
080924;0000;;;19,6284;
080925;0000;;;12,3542;
080926;0000;;;5,92014;
080927;0000;;;6,26041;
080928;0000;;;11,1458;
080929;0000;;;14,4514;
080930;0000;;;8,14929;
081001;0000;;;9,99998;
081002;0000;;;12,5278;
081003;0000;;;7,73611;
081004;0000;;;12,5625;
081005;0000;;;12,9583;
081006;0000;;;14,243;
081007;0000;;;16,6909;
081008;0000;;;11,2673;
081009;0000;;;14,9236;
081010;0000;;;9,1111;
081011;0000;;;7,74652;
081012;0000;;;6,28819;
081013;0000;;;8,75346;
081014;0000;;;13,9687;
081015;0000;;;13,8993;
081016;0000;;;19,4444;
081017;0000;;;19,4271;
081018;0000;;;18,2361;
081019;0000;;;13,4375;
081020;0000;;;6,06944;
081021;0000;;;7,65277;
081022;0000;;;12,125;
081023;0000;;;13,9548;
081024;0000;;;15,3611;
081025;0000;;;7,5243;
081026;0000;;;14,9896;
081027;0000;;;10,8264;
081028;0000;;;7,60069;
081029;0000;;;11,1146;
081030;0000;;;16,1875;
081031;0000;;;11,2569;
081101;0000;;;11,4132;
081102;0000;;;15,3264;
081103;0000;;;11,1076;
081104;0000;;;12,4548;
081105;0000;;;7,87151;
081106;0000;;;8,41666;
081107;0000;;;7,03124;
081108;0000;;;7,69791;
081109;0000;;;10,8125;
081110;0000;;;14,1423;
081111;0000;;;15,5104;
081112;0000;;;13,0625;
081113;0000;;;11,0868;
081114;0000;;;7,7743;
081115;0000;;;12,3819;
081116;0000;;;16,5486;
081117;0000;;;19,0659;
081118;0000;;;20,4652;
081119;0000;;;12,5833;
081120;0000;;;9,77081;
081121;0000;;;7,32985;
