FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220401;0000;;;;
220402;0000;;;;
220403;0000;;;;
220404;0000;;;;
220405;0000;;;;
220406;0000;;;;
220407;0000;107;;;
220408;0000;96;;;
220409;0000;40;;;
220410;0000;29;;;
220411;0000;52;;;
220412;0000;87;;;
220413;0000;118;;;
220414;0000;114;;;
220415;0000;39;;;
220416;0000;69;;;
220417;0000;78;;;
220418;0000;88;;;
220419;0000;98;;;
220420;0000;72;;;
220421;0000;100;;;
220422;0000;66;;;
220423;0000;65;;;
220424;0000;38;;;
220425;0000;38;;;
220426;0000;15;;;
220427;0000;47;;;
220428;0000;108;;;
220429;0000;108;;;
220430;0000;86;;;
220501;0000;79;;;
220502;0000;72;;;
220503;0000;113;;;
220504;0000;99;;;
220505;0000;58;;;
220506;0000;95;;;
220507;0000;92;;;
220508;0000;35;;;
220509;0000;85;;;
220510;0000;137;;;
220511;0000;130;;;
220512;0000;112;;;
220513;0000;112;;;
220514;0000;130;;;
220515;0000;114;;;
220516;0000;127;;;
220517;0000;149;;;
220518;0000;149;;;
220519;0000;90;;;
220520;0000;90;;;
220521;0000;82;;;
220522;0000;86;;;
220523;0000;84;;;
220524;0000;95;;;
220525;0000;110;;;
220526;0000;100;;;
220527;0000;156;;;
220528;0000;175;;;
220529;0000;92;;;
220530;0000;116;;;
220531;0000;118;;;
220601;0000;95;;;
220602;0000;71;;;
220603;0000;79;;;
220604;0000;30;;;
220605;0000;36;;;
220606;0000;94;;;
220607;0000;113;;;
220608;0000;90;;;
220609;0000;102;;;
220610;0000;173;;;
220611;0000;111;;;
220612;0000;93;;;
220613;0000;77;;;
220614;0000;80;;;
220615;0000;108;;;
220616;0000;86;;;
220617;0000;103;;;
220618;0000;155;;;
220619;0000;171;;;
220620;0000;134;;;
220621;0000;82;;;
220622;0000;93;;;
220623;0000;40;;;
220624;0000;126;;;
220625;0000;139;;;
220626;0000;119;;;
220627;0000;57;;;
220628;0000;94;;;
220629;0000;111;;;
220630;0000;87;;;
220701;0000;27;;;
220702;0000;70;;;
220703;0000;146;;;
220704;0000;149;;;
220705;0000;108;;;
220706;0000;76;;;
220707;0000;120;;;
220708;0000;84;;;
220709;0000;29;;;
220710;0000;11;;;
220711;0000;45;;;
220712;0000;85;;;
220713;0000;99;;;
220714;0000;21;;;
220715;0000;38;;;
220716;0000;59;;;
220717;0000;98;;;
220718;0000;134;;;
220719;0000;137;;;
220720;0000;114;;;
220721;0000;130;;;
220722;0000;125;;;
220723;0000;110;;;
220724;0000;61;;;
220725;0000;48;;;
220726;0000;66;;;
220727;0000;52;;;
220728;0000;87;;;
220729;0000;101;;;
220730;0000;62;;;
220731;0000;77;;;
220801;0000;83;;;
220802;0000;99;;;
220803;0000;89;;;
220804;0000;90;;;
220805;0000;93;;;
220806;0000;36;;;
220807;0000;18;;;
220808;0000;75;;;
220809;0000;135;;;
220810;0000;103;;;
220811;0000;77;;;
220812;0000;47;;;
220813;0000;87;;;
220814;0000;53;;;
220815;0000;12;;;
220816;0000;67;;;
220817;0000;31;;;
220818;0000;88;;;
220819;0000;128;;;
220820;0000;114;;;
220821;0000;85;;;
220822;0000;47;;;
220823;0000;81;;;
220824;0000;111;;;
220825;0000;120;;;
220826;0000;109;;;
220827;0000;69;;;
220828;0000;97;;;
220829;0000;82;;;
220830;0000;39;;;
220831;0000;44;;;
220901;0000;57;;;
220902;0000;114;;;
220903;0000;108;;;
220904;0000;106;;;
220905;0000;100;;;
220906;0000;109;;;
220907;0000;25;;;
220908;0000;26;;;
220909;0000;88;;;
220910;0000;81;;;
220911;0000;18;;;
220912;0000;61;;;
220913;0000;40;;;
220914;0000;85;;;
220915;0000;84;;;
220916;0000;30;;;
220917;0000;25;;;
220918;0000;12;;;
220919;0000;25;;;
220920;0000;30;;;
220921;0000;38;;;
220922;0000;68;;;
220923;0000;69;;;
220924;0000;23;;;
220925;0000;22;;;
220926;0000;42;;;
220927;0000;53;;;
220928;0000;59;;;
220929;0000;62;;;
220930;0000;74;;;
221001;0000;70;;;
221002;0000;48;;;
221003;0000;29;;;
221004;0000;42;;;
221005;0000;38;;;
221006;0000;56;;;
221007;0000;67;;;
221008;0000;27;;;
221009;0000;37;;;
221010;0000;40;;;
221011;0000;73;;;
221012;0000;64;;;
221013;0000;67;;;
221014;0000;71;;;
221015;0000;78;;;
221016;0000;47;;;
221017;0000;46;;;
221018;0000;35;;;
221019;0000;38;;;
221020;0000;52;;;
221021;0000;58;;;
221022;0000;55;;;
221023;0000;39;;;
221024;0000;57;;;
221025;0000;52;;;
221026;0000;41;;;
221027;0000;61;;;
221028;0000;61;;;
221029;0000;48;;;
221030;0000;32;;;
221031;0000;66;;;
221101;0000;;;;
221102;0000;;;;
221103;0000;67;;;
221104;0000;66;;;
221105;0000;44;;;
221106;0000;39;;;
221107;0000;62;;;
221108;0000;56;;;
221109;0000;27;;;
221110;0000;41;;;
221111;0000;30;;;
221112;0000;27;;;
221113;0000;25;;;
221114;0000;49;;;
221115;0000;53;;;
221116;0000;50;;;
221117;0000;59;;;
221118;0000;55;;;
221119;0000;38;;;
221120;0000;34;;;
221121;0000;50;;;
221122;0000;67;;;
221123;0000;74;;;
221124;0000;69;;;
221125;0000;74;;;
221126;0000;55;;;
221127;0000;34;;;
221128;0000;55;;;
221129;0000;44;;;
221130;0000;37;;;
221201;0000;51;;;
221202;0000;64;;;
221203;0000;49;;;
221204;0000;36;;;
221205;0000;64;;;
221206;0000;66;;;
221207;0000;64;;;
221208;0000;40;;;
221209;0000;40;;;
221210;0000;43;;;
221211;0000;57;;;
221212;0000;65;;;
221213;0000;72;;;
221214;0000;70;;;
221215;0000;93;;;
221216;0000;168;;;
221217;0000;51;;;
221218;0000;44;;;
221219;0000;60;;;
221220;0000;54;;;
221221;0000;60;;;
221222;0000;45;;;
221223;0000;53;;;
221224;0000;52;;;
221225;0000;40;;;
221226;0000;52;;;
221227;0000;65;;;
221228;0000;75;;;
221229;0000;82;;;
221230;0000;67;;;
221231;0000;32;;;
230101;0000;28;;;
230102;0000;;;;
230103;0000;;;;
230104;0000;65;;;
230105;0000;59;;;
230106;0000;50;;;
230107;0000;43;;;
230108;0000;36;;;
230109;0000;41;;;
230110;0000;40;;;
230111;0000;50;;;
230112;0000;60;;;
230113;0000;62;;;
230114;0000;43;;;
230115;0000;42;;;
230116;0000;55;;;
230117;0000;65;;;
230118;0000;71;;;
230119;0000;51;;;
230120;0000;50;;;
230121;0000;47;;;
230122;0000;44;;;
230123;0000;65;;;
230124;0000;48;;;
230125;0000;41;;;
230126;0000;51;;;
230127;0000;57;;;
230128;0000;66;;;
230129;0000;55;;;
230130;0000;51;;;
230131;0000;54;;;
230201;0000;65;;;
230202;0000;69;;;
230203;0000;98;;;
230204;0000;62;;;
230205;0000;43;;;
230206;0000;94;;;
230207;0000;132;;;
230208;0000;117;;;
230209;0000;137;;;
230210;0000;141;;;
230211;0000;90;;;
230212;0000;78;;;
230213;0000;47;;;
230214;0000;67;;;
230215;0000;74;;;
230216;0000;72;;;
230217;0000;54;;;
230218;0000;66;;;
230219;0000;37;;;
230220;0000;68;;;
230221;0000;90;;;
230222;0000;83;;;
230223;0000;82;;;
230224;0000;72;;;
230225;0000;45;;;
230226;0000;43;;;
230227;0000;70;;;
230228;0000;67;;;
230301;0000;88;;;
230302;0000;84;;;
230303;0000;64;;;
230304;0000;69;;;
230305;0000;69;;;
230306;0000;68;;;
230307;0000;62;;;
230308;0000;45;;;
230309;0000;58;;;
230310;0000;60;;;
230311;0000;44;;;
230312;0000;28;;;
230313;0000;48;;;
230314;0000;52;;;
230315;0000;58;;;
230316;0000;69;;;
230317;0000;72;;;
230318;0000;76;;;
230319;0000;67;;;
230320;0000;76;;;
230321;0000;65;;;
230322;0000;93;;;
230323;0000;98;;;
230324;0000;100;;;
230325;0000;81;;;
230326;0000;62;;;
230327;0000;78;;;
230328;0000;85;;;
230329;0000;65;;;
230330;0000;78;;;
230331;0000;88;;;
230401;0000;80;;;
230402;0000;74;;;
230403;0000;80;;;
230404;0000;77;;;
230405;0000;70;;;
230406;0000;74;;;
230407;0000;73;;;
230408;0000;64;;;
230409;0000;60;;;
230410;0000;75;;;
230411;0000;77;;;
230412;0000;56;;;
230413;0000;38;;;
230414;0000;44;;;
230415;0000;46;;;
230416;0000;45;;;
230417;0000;63;;;
230418;0000;106;;;
230419;0000;144;;;
230420;0000;118;;;
230421;0000;60;;;
230422;0000;86;;;
230423;0000;44;;;
230424;0000;71;;;
230425;0000;103;;;
230426;0000;138;;;
230427;0000;98;;;
230428;0000;82;;;
230429;0000;25;;;
230430;0000;25;;;
230501;0000;51;;;
230502;0000;66;;;
230503;0000;79;;;
230504;0000;93;;;
230505;0000;108;;;
230506;0000;104;;;
230507;0000;136;;;
230508;0000;150;;;
230509;0000;144;;;
230510;0000;137;;;
230511;0000;130;;;
230512;0000;103;;;
230513;0000;122;;;
230514;0000;89;;;
230515;0000;72;;;
230516;0000;63;;;
230517;0000;43;;;
230518;0000;70;;;
230519;0000;83;;;
230520;0000;91;;;
230521;0000;70;;;
230522;0000;72;;;
230523;0000;110;;;
230524;0000;78;;;
230525;0000;91;;;
230526;0000;65;;;
230527;0000;88;;;
230528;0000;126;;;
230529;0000;130;;;
230530;0000;139;;;
230531;0000;149;;;
230601;0000;119;;;
230602;0000;87;;;
230603;0000;66;;;
230604;0000;102;;;
230605;0000;122;;;
230606;0000;161;;;
230607;0000;149;;;
230608;0000;51;;;
230609;0000;16;;;
230610;0000;25;;;
230611;0000;45;;;
230612;0000;130;;;
230613;0000;138;;;
230614;0000;124;;;
230615;0000;141;;;
230616;0000;131;;;
230617;0000;143;;;
230618;0000;91;;;
230619;0000;91;;;
230620;0000;94;;;
230621;0000;69;;;
230622;0000;27;;;
230623;0000;28;;;
230624;0000;38;;;
230625;0000;43;;;
230626;0000;34;;;
230627;0000;96;;;
230628;0000;186;;;
230629;0000;179;;;
230630;0000;161;;;
230701;0000;111;;;
230702;0000;68;;;
230703;0000;119;;;
230704;0000;90;;;
230705;0000;75;;;
230706;0000;98;;;
230707;0000;130;;;
230708;0000;98;;;
230709;0000;75;;;
230710;0000;80;;;
230711;0000;66;;;
230712;0000;32;;;
230713;0000;118;;;
230714;0000;151;;;
230715;0000;93;;;
230716;0000;114;;;
230717;0000;198;;;
230718;0000;212;;;
230719;0000;174;;;
230720;0000;139;;;
230721;0000;60;;;
230722;0000;26;;;
230723;0000;73;;;
230724;0000;128;;;
230725;0000;100;;;
