FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080519;0000;;;;
080520;0000;;;;
080521;0000;;;;
080522;0000;;;;
080523;0000;;;;
080524;0000;;;;
080525;0000;;;;
080526;0000;;;;
080527;0000;;;;
080528;0000;;;;
080529;0000;;;;
080530;0000;;;;
080531;0000;;;;
080601;0000;;;;
080602;0000;;;;
080603;0000;;;;
080604;0000;;;;
080605;0000;;;;
080606;0000;;;;
080607;0000;;;;
080608;0000;;;;
080609;0000;;;;
080610;0000;;;;
080611;0000;;;;
080612;0000;;;;
080613;0000;;;;
080614;0000;;;;
080615;0000;;;;
080616;0000;;;;
080617;0000;;;;
080618;0000;;;;
080619;0000;;;;
080620;0000;;;;
080621;0000;;;;
080622;0000;;;;
080623;0000;;;;
080624;0000;;;;
080625;0000;;;;
080626;0000;;;;
080627;0000;;;;
080628;0000;;;;
080629;0000;;;;
080630;0000;;;;
080701;0000;;;;
080702;0000;;;;
080703;0000;;;;
080704;0000;;;;
080705;0000;;;;
080706;0000;;;;
080707;0000;;;;
080708;0000;;;;
080709;0000;;;;
080710;0000;;;;
080711;0000;;;;
080712;0000;;;;
080713;0000;;;;
080714;0000;;;;
080715;0000;;;;
080716;0000;;;;
080717;0000;;;;
080718;0000;;;;
080719;0000;;;;
080720;0000;;;;
080721;0000;;;;
080722;0000;;;;
080723;0000;;;;
080724;0000;;;;
080725;0000;;;;
080726;0000;;;;
080727;0000;;;;
080728;0000;;;;
080729;0000;;;;
080730;0000;;;;
080731;0000;;;;
080801;0000;;;;
080802;0000;;;;
080803;0000;;;;
080804;0000;;;;
080805;0000;;;;
080806;0000;;;;
080807;0000;;;;
080808;0000;;;;
080809;0000;;;;
080810;0000;;;;
080811;0000;;;;
080812;0000;;;;
080813;0000;;;;
080814;0000;;;;
080815;0000;;;;
080816;0000;;;;
080817;0000;;;;
080818;0000;;;;
080819;0000;;;;
080820;0000;;;;
080821;0000;;;;
080822;0000;;;;
080823;0000;;;;
080824;0000;;;;
080825;0000;;;;
080826;0000;;;;
080827;0000;;;;
080828;0000;;;;
080829;0000;;;;
080830;0000;;;;
080831;0000;;;;
080901;0000;;;;
080902;0000;;;;
080903;0000;;;;
080904;0000;;;;
080905;0000;;;;
080906;0000;;;;
080907;0000;;;;
080908;0000;;;;
080909;0000;;;;
080910;0000;;;;
080911;0000;;;;
080912;0000;;;;
080913;0000;;;;
080914;0000;;;;
080915;0000;;;;
080916;0000;;;;
080917;0000;;;;
080918;0000;;;;
080919;0000;;;;
080920;0000;;;;
080921;0000;;;;
080922;0000;;;;
080923;0000;;;;
080924;0000;;;;
080925;0000;;;;
080926;0000;;;;
080927;0000;;;;
080928;0000;;;;
080929;0000;;;;
080930;0000;;;;
081001;0000;;;;
081002;0000;;;;
081003;0000;;;;
081004;0000;;;;
081005;0000;;;;
081006;0000;;;;
081007;0000;;;;
081008;0000;;;;
081009;0000;;;;
081010;0000;;;;
081011;0000;;;;
081012;0000;;;;
081013;0000;;;;
081014;0000;;;;
081015;0000;;;;
081016;0000;;;;
081017;0000;;;;
081018;0000;;;;
081019;0000;;;;
081020;0000;;;;
081021;0000;;;;
081022;0000;;;;
081023;0000;;;;
081024;0000;;;;
081025;0000;;;;
081026;0000;;;;
081027;0000;;;;
081028;0000;;;;
081029;0000;;;;
081030;0000;;;;
081031;0000;;;;
081101;0000;;;;
081102;0000;;;;
081103;0000;;;;
081104;0000;;;;
081105;0000;;;;
081106;0000;;;;
081107;0000;;;;
081108;0000;;;;
081109;0000;;;;
081110;0000;;;;
081111;0000;;;;
081112;0000;;;;
081113;0000;;;;
081114;0000;;;;
081115;0000;;;;
081116;0000;;;;
081117;0000;;;;
081118;0000;;;;
081119;0000;;;;
081120;0000;;;;
081121;0000;;;;
081122;0000;;;;
081123;0000;;;;
081124;0000;;;;
081125;0000;;;;
081126;0000;;;;
081127;0000;;;;
081128;0000;;;;
081129;0000;;;;
081130;0000;;;;
081201;0000;;;;
081202;0000;;;;
081203;0000;;;;
081204;0000;;;;
081205;0000;;;;
081206;0000;;;;
081207;0000;;;;
081208;0000;;;;
081209;0000;;;;
081210;0000;;;;
081211;0000;;;;
081212;0000;;;;
081213;0000;;;;
081214;0000;;;;
081215;0000;;;;
081216;0000;;;;
081217;0000;;;;
081218;0000;;;;
081219;0000;;;;
081220;0000;;;;
081221;0000;;;;
081222;0000;;;;
081223;0000;;;;
081224;0000;;;;
081225;0000;;;;
081226;0000;;;;
081227;0000;;;;
081228;0000;;;;
081229;0000;;;;
081230;0000;;;;
081231;0000;;;;
090101;0000;61,0833;;;
090102;0000;58,625;;;
090103;0000;79,5833;;;
090104;0000;64,5;;;
090105;0000;81,4166;;;
090106;0000;61,5833;;;
090107;0000;55,75;;;
090108;0000;66,9166;;;
090109;0000;73,6666;;;
090110;0000;73,4583;;;
090111;0000;62,9583;;;
090112;0000;63,75;;;
090113;0000;86,0416;;;
090114;0000;50,5416;;;
090115;0000;80,5416;;;
090116;0000;71;;;
090117;0000;71,4583;;;
090118;0000;52,0416;;;
090119;0000;80,5416;;;
090120;0000;106,083;;;
090121;0000;83,1666;;;
090122;0000;106,042;;;
090123;0000;114,042;;;
090124;0000;43,4166;;;
090125;0000;50,2916;;;
090126;0000;80,0833;;;
090127;0000;93,2916;;;
090128;0000;118,333;;;
090129;0000;96,5416;;;
090130;0000;101,708;;;
090131;0000;90,5833;;;
090201;0000;67,4166;;;
090202;0000;61,4583;;;
090203;0000;82,875;;;
090204;0000;87,2916;;;
090205;0000;53,7083;;;
090206;0000;74,625;;;
090207;0000;68,0416;;;
090208;0000;55,5416;;;
090209;0000;105,875;;;
090210;0000;88,3333;;;
090211;0000;91,3333;;;
090212;0000;124,333;;;
090213;0000;82,4583;;;
090214;0000;87,9583;;;
090215;0000;93,9166;;;
090216;0000;62,5;;;
090217;0000;62,8333;;;
090218;0000;75,3333;;;
090219;0000;78,4583;;;
090220;0000;77,375;;;
090221;0000;63,6666;;;
090222;0000;63,5833;;;
090223;0000;90,25;;;
090224;0000;77,625;;;
090225;0000;88,25;;;
090226;0000;95,125;;;
090227;0000;85,25;;;
090228;0000;63,1666;;;
090301;0000;42,9166;;;
090302;0000;59,5416;;;
090303;0000;41,0416;;;
090304;0000;51,4091;;;
090305;0000;96,2083;;;
090306;0000;112,417;;;
090307;0000;84,9583;;;
090308;0000;70,7083;;;
090309;0000;83,4583;;;
090310;0000;84,7083;;;
090311;0000;84,25;;;
090312;0000;95,7916;;;
090313;0000;88,5;;;
090314;0000;87,1666;;;
090315;0000;89,2916;;;
090316;0000;84,125;;;
090317;0000;;;;
090318;0000;112,333;;;
090319;0000;94,5;;;
090320;0000;98,4583;;;
090321;0000;98,6666;;;
090322;0000;89,4583;;;
090323;0000;82,375;;;
090324;0000;88,4583;;;
090325;0000;92,5416;;;
090326;0000;106,042;;;
090327;0000;87,2083;;;
090328;0000;92,4583;;;
090329;0000;47,625;;;
090330;0000;72,5833;;;
090331;0000;87,5416;;;
090401;0000;82,6521;;;
090402;0000;71,9583;;;
090403;0000;50,25;;;
090404;0000;48,4166;;;
090405;0000;78,0416;;;
090406;0000;105,292;;;
090407;0000;103,208;;;
090408;0000;115,5;;;
090409;0000;85,625;;;
090410;0000;73,2083;;;
090411;0000;80,0833;;;
090412;0000;62,25;;;
090413;0000;77,7083;;;
090414;0000;100,167;;;
090415;0000;99,3333;;;
090416;0000;101,333;;;
090417;0000;126,833;;;
090418;0000;124,5;;;
090419;0000;97,2083;;;
090420;0000;111,75;;;
090421;0000;135,583;;;
090422;0000;125,333;;;
090423;0000;86,5833;;;
090424;0000;124,375;;;
090425;0000;141,25;;;
090426;0000;134,375;;;
090427;0000;129,583;;;
090428;0000;121,435;;;
090429;0000;97,6086;;;
090430;0000;70,1666;;;
090501;0000;84,1738;;;
090502;0000;70,1666;;;
090503;0000;61,625;;;
090504;0000;69,7916;;;
090505;0000;116,625;;;
090506;0000;126,167;;;
090507;0000;99,6666;;;
090508;0000;99,5833;;;
090509;0000;87,9166;;;
090510;0000;145,417;;;
090511;0000;223,417;;;
090512;0000;119,333;;;
090513;0000;44,4166;;;
090514;0000;53,0833;;;
090515;0000;68,7083;;;
090516;0000;95,0833;;;
090517;0000;42,375;;;
090518;0000;68,125;;;
090519;0000;103,375;;;
090520;0000;156;;;
090521;0000;140,625;;;
090522;0000;117,708;;;
090523;0000;113,917;;;
090524;0000;98,2083;;;
090525;0000;43,1;;;
090526;0000;36,9166;;;
090527;0000;99,5833;;;
090528;0000;85,6666;;;
090529;0000;95,2083;;;
090530;0000;74,125;;;
090531;0000;76,9583;;;
090601;0000;136,625;;;
090602;0000;161,667;;;
090603;0000;159,417;;;
090604;0000;158,625;;;
090605;0000;185,75;;;
090606;0000;148;;;
090607;0000;84,0416;;;
090608;0000;147,25;;;
090609;0000;222,292;;;
090610;0000;172,167;;;
090611;0000;205,167;;;
090612;0000;164,125;;;
090613;0000;98,5;;;
090614;0000;44,8333;;;
090615;0000;41,5;;;
