FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080510;0000;;;81,5902;
080511;0000;;;114,186;
080512;0000;;;76,3749;
080513;0000;;;72,3905;
080514;0000;;;51,9687;
080515;0000;;;77,8071;
080516;0000;;;86,67;
080517;0000;;;35,6423;
080518;0000;;;34,5277;
080519;0000;;;16,7639;
080520;0000;;;27,7534;
080521;0000;;;23,2361;
080522;0000;;;34,052;
080523;0000;;;13,0243;
080524;0000;;;43,0242;
080525;0000;;;44,4235;
080526;0000;;;27,7187;
080527;0000;;;18,3472;
080528;0000;;;41,8055;
080529;0000;;;95,0797;
080530;0000;;;103,151;
080531;0000;;;132,6;
080601;0000;;;112,43;
080602;0000;;;49,7291;
080603;0000;;;62,1353;
080604;0000;;;21,4305;
080605;0000;;;22,9027;
080606;0000;;;49,4166;
080607;0000;;;29,8021;
080608;0000;;;50,7742;
080609;0000;;;45,743;
080610;0000;;;65,7083;
080611;0000;;;64,8088;
080612;0000;;;87,4113;
080613;0000;;;89,4929;
080614;0000;;;70,1041;
080615;0000;;;135,404;
080616;0000;;;73,0763;
080617;0000;;;40,6596;
080618;0000;;;39,545;
080619;0000;;;14,2222;
080620;0000;;;35,7291;
080621;0000;;;81,3958;
080622;0000;;;119,837;
080623;0000;;;118,714;
080624;0000;;;117,292;
080625;0000;;;87,3489;
080626;0000;;;83,9149;
080627;0000;;;79,8922;
080628;0000;;;135,993;
080629;0000;;;106,637;
080630;0000;;;91,3857;
080701;0000;;;25,5069;
080702;0000;;;79,2777;
080703;0000;;;67,5797;
080704;0000;;;30,2187;
080705;0000;;;63,3715;
080706;0000;;;76,1439;
080707;0000;;;59,6249;
080708;0000;;;88,8436;
080709;0000;;;68,3402;
080710;0000;;;40,2708;
080711;0000;;;40,8263;
080712;0000;;;47,9443;
080713;0000;;;45,7742;
080714;0000;;;63,493;
080715;0000;;;63,7603;
080716;0000;;;39,7465;
080717;0000;;;14,8715;
080718;0000;;;49,6423;
080719;0000;;;70,3193;
080720;0000;;;45,0034;
080721;0000;;;47,5659;
080722;0000;;;53,3176;
080723;0000;;;24,7655;
080724;0000;;;67,8715;
080725;0000;;;67,4408;
080726;0000;;;63,6874;
080727;0000;;;30,9756;
080728;0000;;;65,2151;
080729;0000;;;50,7048;
080730;0000;;;54,4583;
080731;0000;;;45,795;
080801;0000;;;24,8645;
080802;0000;;;24,5694;
080803;0000;;;44,9669;
080804;0000;;;28,2847;
080805;0000;;;34,9999;
080806;0000;;;43,9791;
080807;0000;;;49,8193;
080808;0000;;;72,1301;
080809;0000;;;81,809;
080810;0000;;;55,894;
080811;0000;;;30,4687;
080812;0000;;;48,6909;
080813;0000;;;52,736;
080814;0000;;;50,5833;
080815;0000;;;25,1354;
080816;0000;;;9,08679;
080817;0000;;;28,3854;
080818;0000;;;13,4403;
080819;0000;;;12,5382;
080820;0000;;;18,7048;
080821;0000;;;27,5208;
080822;0000;;;41,1006;
080823;0000;;;37,8298;
080824;0000;;;60,5798;
080825;0000;;;24,0555;
080826;0000;;;13,1979;
080827;0000;;;7,01041;
080828;0000;;;11,8125;
080829;0000;;;39,4965;
080830;0000;;;44,6458;
080831;0000;;;34,1006;
080901;0000;;;9,50693;
080902;0000;;;8,25694;
080903;0000;;;12,6413;
080904;0000;;;17,5798;
080905;0000;;;29,144;
080906;0000;;;37,8472;
080907;0000;;;42,8263;
080908;0000;;;28,9791;
080909;0000;;;20,9826;
080910;0000;;;12,441;
080911;0000;;;21,942;
080912;0000;;;14,9091;
080913;0000;;;57,0416;
080914;0000;;;39,5728;
080915;0000;;;39,9374;
080916;0000;;;46,0912;
080917;0000;;;21,434;
080918;0000;;;24,5521;
080919;0000;;;25,7708;
080920;0000;;;44,3211;
080921;0000;;;48,2221;
080922;0000;;;25,6458;
080923;0000;;;21,9722;
080924;0000;;;28,2812;
080925;0000;;;26,7708;
080926;0000;;;8,99304;
080927;0000;;;12,2535;
080928;0000;;;16,5833;
080929;0000;;;16,7048;
080930;0000;;;12,1632;
081001;0000;;;13,9201;
081002;0000;;;19,375;
081003;0000;;;12,5451;
081004;0000;;;18,875;
081005;0000;;;17,7083;
081006;0000;;;20,6284;
081007;0000;;;27,3125;
081008;0000;;;20,1146;
081009;0000;;;22,4132;
081010;0000;;;18,1944;
081011;0000;;;15,7083;
081012;0000;;;12,6979;
081013;0000;;;13,3229;
081014;0000;;;23,3958;
081015;0000;;;19,6423;
081016;0000;;;21,8576;
081017;0000;;;26,5833;
081018;0000;;;28,3819;
081019;0000;;;20,2014;
081020;0000;;;10,2673;
081021;0000;;;11,8437;
081022;0000;;;12,2292;
081023;0000;;;23,2917;
081024;0000;;;25,7917;
081025;0000;;;17,5034;
081026;0000;;;22,4167;
081027;0000;;;19,1667;
081028;0000;;;11,9583;
081029;0000;;;19,3889;
081030;0000;;;22,9409;
081031;0000;;;25,0139;
081101;0000;;;22,3854;
081102;0000;;;21,5694;
081103;0000;;;21,6319;
081104;0000;;;21,8298;
081105;0000;;;16,0243;
081106;0000;;;14,6632;
081107;0000;;;13,4583;
081108;0000;;;14,2986;
081109;0000;;;16,6597;
081110;0000;;;18,8611;
081111;0000;;;22,5277;
081112;0000;;;19,6562;
081113;0000;;;19,1736;
081114;0000;;;14,2812;
081115;0000;;;16,0451;
081116;0000;;;21,2187;
081117;0000;;;19,7118;
081118;0000;;;23,2951;
081119;0000;;;19,7847;
081120;0000;;;14,2673;
081121;0000;;;13,1076;
081122;0000;;;11,6667;
081123;0000;;;12,7535;
081124;0000;;;14,4548;
081125;0000;;;15,0729;
081126;0000;;;18,1979;
081127;0000;;;10,6667;
081128;0000;;;9,54514;
081129;0000;;;12,3403;
081130;0000;;;14,8368;
081201;0000;;;13,0833;
081202;0000;;;17,243;
081203;0000;;;18,4167;
081204;0000;;;18,7014;
081205;0000;;;16,2604;
081206;0000;;;18,0104;
081207;0000;;;15,3646;
081208;0000;;;10,7396;
081209;0000;;;12,5;
081210;0000;;;;
081211;0000;;;;
081212;0000;;;17,7048;
081213;0000;;;17,2708;
081214;0000;;;20,7014;
081215;0000;;;14,243;
081216;0000;;;13,2465;
081217;0000;;;17,1736;
081218;0000;;;16,0486;
081219;0000;;;17,1771;
081220;0000;;;12,993;
081221;0000;;;;
081222;0000;;;;
081223;0000;;;19,8889;
081224;0000;;;18,3403;
081225;0000;;;14,3715;
081226;0000;;;18,1146;
081227;0000;;;24,1875;
081228;0000;;;16,6701;
081229;0000;;;22,2396;
081230;0000;;;22,0034;
081231;0000;;;26,7187;
090101;0000;22,2609;;;
090102;0000;19,8333;;;
090103;0000;25,6667;;;
090104;0000;22,8333;;;
090105;0000;15,875;;;
090106;0000;9,70833;;;
090107;0000;12,6667;;;
090108;0000;16,75;;;
090109;0000;17,0417;;;
090110;0000;19,75;;;
090111;0000;18,625;;;
090112;0000;15,0833;;;
090113;0000;18,25;;;
090114;0000;10,2917;;;
090115;0000;16,0417;;;
090116;0000;16;;;
090117;0000;23,1667;;;
090118;0000;15,9583;;;
090119;0000;18,5833;;;
090120;0000;24,1667;;;
090121;0000;23;;;
090122;0000;22,5;;;
090123;0000;25,7083;;;
090124;0000;15,875;;;
090125;0000;14,7083;;;
090126;0000;18,25;;;
090127;0000;25,6667;;;
090128;0000;26,4583;;;
090129;0000;24,0833;;;
090130;0000;20,5417;;;
090131;0000;20,25;;;
090201;0000;22,4167;;;
090202;0000;17,125;;;
090203;0000;22,5417;;;
090204;0000;10,5417;;;
090205;0000;10,3333;;;
090206;0000;16,125;;;
090207;0000;18,6667;;;
090208;0000;16,0833;;;
090209;0000;20,875;;;
090210;0000;23,0833;;;
090211;0000;25,9167;;;
090212;0000;29,0417;;;
090213;0000;21,0833;;;
090214;0000;23,5;;;
090215;0000;27;;;
090216;0000;18,125;;;
090217;0000;16,9583;;;
090218;0000;17,8333;;;
090219;0000;15,375;;;
090220;0000;16,9583;;;
090221;0000;15,2917;;;
090222;0000;16,2083;;;
090223;0000;22,5417;;;
090224;0000;19,4167;;;
090225;0000;21;;;
090226;0000;21,2917;;;
090227;0000;21,6667;;;
090228;0000;21,9583;;;
090301;0000;12,8333;;;
090302;0000;14,0417;;;
090303;0000;14,4583;;;
090304;0000;15,9583;;;
090305;0000;21,875;;;
090306;0000;22,5833;;;
090307;0000;21,125;;;
090308;0000;20,4167;;;
090309;0000;21,9167;;;
090310;0000;21,0833;;;
090311;0000;18,25;;;
090312;0000;20,3333;;;
090313;0000;22,75;;;
090314;0000;27,5833;;;
090315;0000;21,6667;;;
090316;0000;16,625;;;
090317;0000;18,4583;;;
090318;0000;26,5417;;;
090319;0000;19,1667;;;
090320;0000;25,4167;;;
090321;0000;18,4583;;;
090322;0000;24,625;;;
090323;0000;23,75;;;
090324;0000;20,9167;;;
090325;0000;23,5;;;
090326;0000;30,3333;;;
090327;0000;23,8333;;;
090328;0000;35,7083;;;
090329;0000;14,5417;;;
090330;0000;19,5833;;;
090331;0000;27,375;;;
090401;0000;20,875;;;
090402;0000;20;;;
090403;0000;12,75;;;
090404;0000;15,5;;;
090405;0000;25,4167;;;
090406;0000;36;;;
090407;0000;31,9583;;;
090408;0000;30,4167;;;
090409;0000;26,2083;;;
090410;0000;24,625;;;
090411;0000;22,0833;;;
090412;0000;19,5833;;;
090413;0000;21,5;;;
090414;0000;38,9166;;;
090415;0000;34,8333;;;
090416;0000;32,125;;;
090417;0000;36,5833;;;
090418;0000;48,1666;;;
090419;0000;50,0416;;;
090420;0000;32,125;;;
090421;0000;38,625;;;
090422;0000;36,8333;;;
090423;0000;22,2083;;;
090424;0000;37,7083;;;
090425;0000;57,1666;;;
090426;0000;70,875;;;
090427;0000;34;;;
090428;0000;42,125;;;
090429;0000;37,2083;;;
090430;0000;29,7083;;;
090501;0000;44,4583;;;
090502;0000;31,9167;;;
090503;0000;25,5417;;;
090504;0000;11,875;;;
090505;0000;40,9583;;;
090506;0000;38,4583;;;
090507;0000;43,75;;;
090508;0000;54,7083;;;
090509;0000;31,4167;;;
090510;0000;77,0833;;;
090511;0000;107,333;;;
090512;0000;70,3333;;;
090513;0000;27,875;;;
090514;0000;37,75;;;
090515;0000;31,125;;;
090516;0000;55,75;;;
090517;0000;17,75;;;
090518;0000;23,25;;;
090519;0000;44,875;;;
090520;0000;68,625;;;
090521;0000;75,9583;;;
090522;0000;65,875;;;
090523;0000;64,8181;;;
090524;0000;57,25;;;
090525;0000;14,75;;;
090526;0000;16,0833;;;
090527;0000;46,5714;;;
090528;0000;41,2083;;;
090529;0000;44,9166;;;
090530;0000;48,25;;;
090531;0000;68,875;;;
090601;0000;78,8333;;;
090602;0000;85,25;;;
090603;0000;84,6666;;;
090604;0000;61,9166;;;
090605;0000;72,75;;;
090606;0000;95,5;;;
090607;0000;39,4166;;;
090608;0000;76,4761;;;
090609;0000;95,8333;;;
090610;0000;85,7916;;;
090611;0000;102,375;;;
090612;0000;90,5416;;;
090613;0000;57,7916;;;
090614;0000;36,4166;;;
090615;0000;28,6667;;;
090616;0000;47,5;;;
090617;0000;25,0417;;;
090618;0000;48,0416;;;
090619;0000;34,2083;;;
090620;0000;13,5833;;;
090621;0000;25,0833;;;
090622;0000;42,5416;;;
090623;0000;58,625;;;
090624;0000;104,542;;;
090625;0000;97,625;;;
090626;0000;78,7083;;;
