FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;22,0833;;;
000102;0000;18,2083;;;
000103;0000;17,9565;;;
000104;0000;18,9167;;;
000105;0000;14,4583;;;
000106;0000;17,4583;;;
000107;0000;16,75;;;
000108;0000;13,375;;;
000109;0000;13,4583;;;
000110;0000;18,4167;;;
000111;0000;19,375;;;
000112;0000;17,75;;;
000113;0000;15,1304;;;
000114;0000;13,625;;;
000115;0000;15,2917;;;
000116;0000;12,1667;;;
000117;0000;16,25;;;
000118;0000;23,6667;;;
000119;0000;24,5833;;;
000120;0000;27,0417;;;
000121;0000;25,75;;;
000122;0000;20,5833;;;
000123;0000;18,625;;;
000124;0000;19,125;;;
000125;0000;25,1667;;;
000126;0000;27;;;
000127;0000;25,7083;;;
000128;0000;18,375;;;
000129;0000;14,8333;;;
000130;0000;13,4167;;;
000131;0000;15,5833;;;
000201;0000;14,7083;;;
000202;0000;11,1304;;;
000203;0000;17,0417;;;
000204;0000;16,8333;;;
000205;0000;15,375;;;
000206;0000;14,3333;;;
000207;0000;20,1667;;;
000208;0000;27,2083;;;
000209;0000;14,6667;;;
000210;0000;13,5833;;;
000211;0000;15,375;;;
000212;0000;8,08333;;;
000213;0000;13,625;;;
000214;0000;26,5417;;;
000215;0000;23,7083;;;
000216;0000;27,875;;;
000217;0000;24,9583;;;
000218;0000;25,4583;;;
000219;0000;23,6667;;;
000220;0000;24,125;;;
000221;0000;24,0909;;;
000222;0000;28,75;;;
000223;0000;29,9167;;;
000224;0000;28,9583;;;
000225;0000;21,7083;;;
000226;0000;11,1667;;;
000227;0000;6,58333;;;
000228;0000;18,9583;;;
000229;0000;21,625;;;
000301;0000;18,3478;;;
000302;0000;21,7083;;;
000303;0000;30,625;;;
000304;0000;30,4167;;;
000305;0000;27,9583;;;
000306;0000;31,2917;;;
000307;0000;37,1666;;;
000308;0000;38,625;;;
000309;0000;30,7917;;;
000310;0000;26,5714;;;
000311;0000;23,6667;;;
000312;0000;18,5833;;;
000313;0000;15,0833;;;
000314;0000;22,7083;;;
000315;0000;21,5;;;
000316;0000;17,8333;;;
000317;0000;21,5;;;
000318;0000;21,2083;;;
000319;0000;22,1667;;;
000320;0000;20,5;;;
000321;0000;28,2917;;;
000322;0000;30,375;;;
000323;0000;22,5454;;;
000324;0000;26,9583;;;
000325;0000;34,7083;;;
000326;0000;26,5833;;;
000327;0000;25,0417;;;
000328;0000;34,2916;;;
000329;0000;39,4583;;;
000330;0000;45,5416;;;
000331;0000;44,0454;;;
000401;0000;34;;;
000402;0000;26,5833;;;
000403;0000;24,5833;;;
000404;0000;30,3333;;;
000405;0000;33,0833;;;
000406;0000;36,75;;;
000407;0000;47,75;;;
000408;0000;39,2916;;;
000409;0000;34,125;;;
000410;0000;35,3636;;;
000411;0000;39,8182;;;
000412;0000;46,1578;;;
000413;0000;;;;
000414;0000;25,5;;;
000415;0000;24,9583;;;
000416;0000;31,2083;;;
000417;0000;25,6667;;;
000418;0000;38,125;;;
000419;0000;47,3889;;;
000420;0000;;;;
000421;0000;68,4583;;;
000422;0000;49,9583;;;
000423;0000;34,0416;;;
000424;0000;52,4166;;;
000425;0000;72,9545;;;
000426;0000;64,5;;;
000427;0000;53,9583;;;
000428;0000;68,3333;;;
000429;0000;47,0416;;;
000430;0000;30,5454;;;
000501;0000;14,25;;;
000502;0000;22,3333;;;
000503;0000;17,2609;;;
000504;0000;20,5;;;
000505;0000;29,4583;;;
000506;0000;23,9583;;;
000507;0000;35,1666;;;
000508;0000;44,9166;;;
000509;0000;46,3333;;;
000510;0000;59,8333;;;
000511;0000;66;;;
000512;0000;64,375;;;
000513;0000;44,8333;;;
000514;0000;34,4166;;;
000515;0000;8,125;;;
000516;0000;20,5;;;
000517;0000;19,625;;;
000518;0000;53,3333;;;
000519;0000;62,5833;;;
000520;0000;64,7083;;;
000521;0000;81,75;;;
000522;0000;36,8333;;;
000523;0000;67,125;;;
000524;0000;32,2609;;;
000525;0000;18,2917;;;
000526;0000;31,0833;;;
000527;0000;34,375;;;
000528;0000;19,9167;;;
000529;0000;23,9167;;;
000530;0000;50,7916;;;
000531;0000;72,5416;;;
000601;0000;59,9166;;;
000602;0000;41,9545;;;
000603;0000;27,0417;;;
000604;0000;21,375;;;
000605;0000;29,5;;;
000606;0000;47,125;;;
000607;0000;47,9583;;;
000608;0000;56,7083;;;
000609;0000;57,2916;;;
000610;0000;32,9166;;;
000611;0000;34,3333;;;
000612;0000;11,75;;;
000613;0000;5,58333;;;
000614;0000;5,95833;;;
000615;0000;10,1667;;;
000616;0000;21,5;;;
000617;0000;25;;;
000618;0000;32,125;;;
000619;0000;47,1364;;;
000620;0000;33,875;;;
000621;0000;16,7083;;;
000622;0000;22;;;
000623;0000;18,9167;;;
000624;0000;10,25;;;
000625;0000;13,5833;;;
000626;0000;25,0417;;;
000627;0000;13,0454;;;
000628;0000;14,4583;;;
000629;0000;13,4583;;;
000630;0000;22,75;;;
000701;0000;10,6667;;;
000702;0000;18,4583;;;
000703;0000;29;;;
000704;0000;36,5833;;;
000705;0000;44,7083;;;
000706;0000;70,2916;;;
000707;0000;28,0555;;;
000708;0000;20,3333;;;
000709;0000;18,2083;;;
000710;0000;14,2083;;;
000711;0000;18,5417;;;
000712;0000;30,9583;;;
000713;0000;34,375;;;
000714;0000;41;;;
000715;0000;48,0833;;;
000716;0000;23,2917;;;
000717;0000;41,625;;;
000718;0000;55,3333;;;
000719;0000;48,7083;;;
000720;0000;40,25;;;
000721;0000;13,5;;;
000722;0000;24,8333;;;
000723;0000;22,2917;;;
000724;0000;49,875;;;
000725;0000;29,375;;;
000726;0000;35,5;;;
000727;0000;56,5416;;;
000728;0000;60,0416;;;
000729;0000;55,125;;;
000730;0000;23,9583;;;
000731;0000;35,125;;;
000801;0000;48,0833;;;
000802;0000;46,5;;;
000803;0000;27,1667;;;
000804;0000;55,3913;;;
000805;0000;48,6666;;;
000806;0000;39,3333;;;
000807;0000;38,0833;;;
000808;0000;35,375;;;
000809;0000;40,5416;;;
000810;0000;33,2083;;;
000811;0000;19,9167;;;
000812;0000;20,3333;;;
000813;0000;20,7083;;;
000814;0000;15,2917;;;
