FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080521;0000;;;2,7375;
080522;0000;;;;
080523;0000;;;17,7257;
080524;0000;;;37,1284;
080525;0000;;;47,5485;
080526;0000;;;31,8159;
080527;0000;;;10,2778;
080528;0000;;;30,0486;
080529;0000;;;26,559;
080530;0000;;;29,7355;
080531;0000;;;42,4374;
080601;0000;;;30,4791;
080602;0000;;;41,9409;
080603;0000;;;49,9617;
080604;0000;;;17,7222;
080605;0000;;;;
080606;0000;;;;
080607;0000;;;;
080608;0000;;;;
080609;0000;;;;
080610;0000;;;;
080611;0000;;;;
080612;0000;;;44,9444;
080613;0000;;;56,045;
080614;0000;;;41,1354;
080615;0000;;;60,9722;
080616;0000;;;30,6562;
080617;0000;;;79,4547;
080618;0000;;;37,493;
080619;0000;;;12,0521;
080620;0000;;;29,184;
080621;0000;;;48,8107;
080622;0000;;;43,8923;
080623;0000;;;36,4374;
080624;0000;;;58,5781;
080625;0000;;;45,3228;
080626;0000;;;49,9791;
080627;0000;;;52,8228;
080628;0000;;;49,7325;
080629;0000;;;50,177;
080630;0000;;;56,2568;
080701;0000;;;41,3402;
080702;0000;;;29,8923;
080703;0000;;;39,3958;
080704;0000;;;24,809;
080705;0000;;;38,0607;
080706;0000;;;40,7187;
080707;0000;;;41,802;
080708;0000;;;45,8437;
080709;0000;;;;
080710;0000;;;;
080711;0000;;;;
080712;0000;;;42,6527;
080713;0000;;;22,4027;
080714;0000;;;21,8576;
080715;0000;;;29,5243;
080716;0000;;;32,9027;
080717;0000;;;7,18748;
080718;0000;;;25,6909;
080719;0000;;;52,1735;
080720;0000;;;33,0451;
080721;0000;;;28,3021;
080722;0000;;;32,3749;
080723;0000;;;12,0625;
080724;0000;;;51,7707;
080725;0000;;;40,2673;
080726;0000;;;32,0902;
080727;0000;;;39,4548;
080728;0000;;;50,7014;
080729;0000;;;48,5693;
080730;0000;;;55,1526;
080731;0000;;;40,4374;
080801;0000;;;14,8576;
080802;0000;;;12,6736;
080803;0000;;;31,309;
080804;0000;;;24,4271;
080805;0000;;;31,9131;
080806;0000;;;30,9791;
080807;0000;;;37,3715;
080808;0000;;;36,8784;
080809;0000;;;46,9548;
080810;0000;;;41,5833;
080811;0000;;;15,6666;
080812;0000;;;32,9687;
080813;0000;;;34,3228;
080814;0000;;;39,111;
080815;0000;;;12,0937;
080816;0000;;;10,1805;
080817;0000;;;20,0277;
080818;0000;;;23,3889;
080819;0000;;;12,2743;
080820;0000;;;15,0208;
080821;0000;;;23,9826;
080822;0000;;;24,7326;
080823;0000;;;0;
080824;0000;;;0;
080825;0000;;;0;
080826;0000;;;0;
080827;0000;;;0;
080828;0000;;;0;
080829;0000;;;5,69791;
080830;0000;;;19,6805;
080831;0000;;;18,7778;
080901;0000;;;19,2882;
080902;0000;;;12,0798;
080903;0000;;;13,25;
080904;0000;;;18,9027;
080905;0000;;;16,309;
080906;0000;;;25,6389;
080907;0000;;;32,6111;
080908;0000;;;28,868;
080909;0000;;;34,302;
080910;0000;;;25,493;
080911;0000;;;17,1909;
080912;0000;;;26,5555;
080913;0000;;;33,9201;
080914;0000;;;27,2743;
080915;0000;;;29,2951;
080916;0000;;;32,4235;
080917;0000;;;18,8402;
080918;0000;;;27,3021;
080919;0000;;;33,4271;
080920;0000;;;23,7118;
080921;0000;;;23,0173;
080922;0000;;;22,0069;
080923;0000;;;22,2534;
080924;0000;;;30,7395;
080925;0000;;;27,3784;
080926;0000;;;9,80206;
080927;0000;;;14,7014;
080928;0000;;;16,8993;
080929;0000;;;18,8507;
080930;0000;;;12,0486;
081001;0000;;;17,6146;
081002;0000;;;17,8368;
081003;0000;;;16,6423;
081004;0000;;;19,809;
081005;0000;;;22,5868;
081006;0000;;;19,3264;
081007;0000;;;21,184;
081008;0000;;;24,1979;
081009;0000;;;27,2118;
081010;0000;;;21,6666;
081011;0000;;;16,8125;
081012;0000;;;16,5972;
081013;0000;;;13,8368;
081014;0000;;;12,6805;
081015;0000;;;17,1667;
081016;0000;;;20,7847;
081017;0000;;;23,3298;
081018;0000;;;22,9618;
081019;0000;;;17,7465;
081020;0000;;;12,2708;
081021;0000;;;10,1771;
081022;0000;;;16,6076;
081023;0000;;;20,8958;
081024;0000;;;22,618;
081025;0000;;;16,2917;
081026;0000;;;20,75;
081027;0000;;;17,6736;
081028;0000;;;11,7951;
081029;0000;;;16,875;
081030;0000;;;20,6875;
081031;0000;;;20,934;
081101;0000;;;18,9618;
081102;0000;;;19,1354;
081103;0000;;;17,8646;
081104;0000;;;21,1667;
081105;0000;;;15,809;
081106;0000;;;14,3298;
081107;0000;;;14,2048;
081108;0000;;;13,8646;
081109;0000;;;14,8437;
