FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160422;0000;46,2829;;;
160423;0000;11,6344;;;
160424;0000;4,87112;;;
160425;0000;15,9957;;;
160426;0000;30,0605;;;
160427;0000;37,8663;;;
160428;0000;51,1121;;;
160429;0000;62,4862;;;
160430;0000;70,5745;;;
160501;0000;56,0383;;;
160502;0000;45,9384;;;
160503;0000;43,1527;;;
160504;0000;41,8975;;;
160505;0000;35,1621;;;
160506;0000;43,635;;;
160507;0000;45,6771;;;
160508;0000;31,2021;;;
160509;0000;42,6079;;;
160510;0000;44,7783;;;
160511;0000;37,1855;;;
160512;0000;34,2125;;;
160513;0000;44,0154;;;
160514;0000;38,7786;;;
160515;0000;24,4713;;;
160516;0000;36,7621;;;
160517;0000;39,5742;;;
160518;0000;37,6525;;;
160519;0000;49,8716;;;
160520;0000;47,1387;;;
160521;0000;21,5346;;;
160522;0000;25,3025;;;
160523;0000;27,9158;;;
160524;0000;43,8975;;;
160525;0000;40,8087;;;
160526;0000;47,4108;;;
160527;0000;73,8704;;;
160528;0000;73,7616;;;
160529;0000;47,1375;;;
160530;0000;17,3387;;;
160531;0000;20,0767;;;
160601;0000;22,8635;;;
160602;0000;29,1462;;;
160603;0000;18,777;;;
160604;0000;13,2773;;;
160605;0000;25,4496;;;
160606;0000;35,71;;;
160607;0000;49,4975;;;
160608;0000;47,3983;;;
160609;0000;55,6166;;;
160610;0000;60,7136;;;
160611;0000;60,8508;;;
160612;0000;46,2271;;;
160613;0000;29,7171;;;
160614;0000;57,2291;;;
160615;0000;64,4695;;;
160616;0000;62,9629;;;
160617;0000;50,3625;;;
160618;0000;78,4957;;;
160619;0000;77,2792;;;
160620;0000;69,4429;;;
160621;0000;47,8983;;;
160622;0000;62,8404;;;
160623;0000;66,7745;;;
160624;0000;54,7879;;;
160625;0000;72,4862;;;
160626;0000;74,1416;;;
160627;0000;51,7496;;;
160628;0000;33,9562;;;
160629;0000;40,5548;;;
160630;0000;72,0858;;;
160701;0000;78,6666;;;
160702;0000;56,9583;;;
160703;0000;44,2917;;;
160704;0000;32;;;
160705;0000;37,9583;;;
160706;0000;44,25;;;
160707;0000;54,9048;;;
160708;0000;66,5909;;;
160709;0000;74,6666;;;
160710;0000;71,5416;;;
160711;0000;5,66666;;;
160712;0000;37,875;;;
160713;0000;14;;;
160714;0000;10,1304;;;
160715;0000;29,375;;;
160716;0000;46,4167;;;
160717;0000;42,7917;;;
160718;0000;34;;;
160719;0000;40,875;;;
160720;0000;45,7083;;;
160721;0000;51,9583;;;
160722;0000;38,5;;;
160723;0000;40,0417;;;
160724;0000;61,2917;;;
160725;0000;7,15;;;
160726;0000;26,125;;;
160727;0000;35,0833;;;
160728;0000;35,5;;;
160729;0000;31,8696;;;
160730;0000;31,9583;;;
160731;0000;17,8333;;;
160801;0000;29,6667;;;
160802;0000;33,875;;;
160803;0000;47,4583;;;
160804;0000;51,375;;;
160805;0000;42,5833;;;
160806;0000;50,125;;;
160807;0000;49,8333;;;
160808;0000;46,4167;;;
160809;0000;38;;;
160810;0000;35,2083;;;
160811;0000;47,087;;;
160812;0000;69,5834;;;
160813;0000;54,0417;;;
160814;0000;57,2083;;;
160815;0000;37,4583;;;
160816;0000;14,5417;;;
160817;0000;11,5;;;
