FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970403;0000;164,739;;;
970404;0000;189,625;;;
970405;0000;207,125;;;
970406;0000;127,833;;;
970407;0000;151,167;;;
970408;0000;117,476;;;
970409;0000;195,375;;;
970410;0000;215,625;;;
970411;0000;198,583;;;
970412;0000;180,208;;;
970413;0000;122;;;
970414;0000;122,292;;;
970415;0000;132,208;;;
970416;0000;137,208;;;
970417;0000;159,818;;;
970418;0000;141,708;;;
970419;0000;107,708;;;
970420;0000;130,75;;;
970421;0000;85,4166;;;
970422;0000;168,5;;;
970423;0000;150,5;;;
970424;0000;60,7916;;;
970425;0000;147,375;;;
970426;0000;155,708;;;
970427;0000;106,042;;;
970428;0000;221,667;;;
970429;0000;186,375;;;
970430;0000;170,583;;;
970501;0000;125,318;;;
970502;0000;;;;
970503;0000;154,792;;;
970504;0000;152,375;;;
970505;0000;178,792;;;
970506;0000;301,5;;;
970507;0000;197,042;;;
970508;0000;182,542;;;
970509;0000;220,869;;;
970510;0000;238,375;;;
970511;0000;174,875;;;
970512;0000;;;;
970513;0000;;;;
970514;0000;177;;;
970515;0000;183,417;;;
970516;0000;94,1666;;;
970517;0000;97,7916;;;
970518;0000;20,0417;;;
970519;0000;62,7916;;;
970520;0000;106,208;;;
970521;0000;50,8333;;;
970522;0000;214,5;;;
970523;0000;192,042;;;
970524;0000;181,917;;;
970525;0000;175,125;;;
970526;0000;117,083;;;
970527;0000;183,842;;;
970528;0000;;;;
970529;0000;20,375;;;
970530;0000;40,2083;;;
970531;0000;133,958;;;
970601;0000;178,75;;;
970602;0000;149,5;;;
970603;0000;121,333;;;
970604;0000;19;;;
970605;0000;63,4583;;;
970606;0000;244,625;;;
970607;0000;183,708;;;
970608;0000;216,333;;;
970609;0000;158,125;;;
970610;0000;133,083;;;
970611;0000;52,4583;;;
970612;0000;14,625;;;
970613;0000;95,2916;;;
970614;0000;42,2083;;;
970615;0000;94,9583;;;
970616;0000;98,125;;;
970617;0000;99,875;;;
970618;0000;79,625;;;
970619;0000;101,565;;;
970620;0000;14,0833;;;
970621;0000;12,2083;;;
970622;0000;19,875;;;
970623;0000;34,875;;;
970624;0000;75,5416;;;
970625;0000;125,042;;;
970626;0000;122;;;
970627;0000;132,583;;;
970628;0000;118,75;;;
970629;0000;165,708;;;
970630;0000;243,727;;;
970701;0000;141,773;;;
970702;0000;166,208;;;
