FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080519;0000;;;;
080520;0000;;;;
080521;0000;;;;
080522;0000;;;;
080523;0000;;;;
080524;0000;;;;
080525;0000;;;;
080526;0000;;;;
080527;0000;;;;
080528;0000;;;;
080529;0000;;;;
080530;0000;;;;
080531;0000;;;;
080601;0000;;;;
080602;0000;;;;
080603;0000;;;;
080604;0000;;;;
080605;0000;;;;
080606;0000;;;;
080607;0000;;;;
080608;0000;;;;
080609;0000;;;;
080610;0000;;;;
080611;0000;;;;
080612;0000;;;;
080613;0000;;;;
080614;0000;;;;
080615;0000;;;;
080616;0000;;;;
080617;0000;;;;
080618;0000;;;;
080619;0000;;;;
080620;0000;;;;
080621;0000;;;;
080622;0000;;;;
080623;0000;;;;
080624;0000;;;;
080625;0000;;;;
080626;0000;;;;
080627;0000;;;;
080628;0000;;;;
080629;0000;;;;
080630;0000;;;;
080701;0000;;;;
080702;0000;;;;
080703;0000;;;;
080704;0000;;;;
080705;0000;;;;
080706;0000;;;;
080707;0000;;;;
080708;0000;;;;
080709;0000;;;;
080710;0000;;;;
080711;0000;;;;
080712;0000;;;;
080713;0000;;;;
080714;0000;;;;
080715;0000;;;;
080716;0000;;;;
080717;0000;;;;
080718;0000;;;;
080719;0000;;;;
080720;0000;;;;
080721;0000;;;;
080722;0000;;;;
080723;0000;;;;
080724;0000;;;;
080725;0000;;;;
080726;0000;;;;
080727;0000;;;;
080728;0000;;;;
080729;0000;;;;
080730;0000;;;;
080731;0000;;;;
080801;0000;;;;
080802;0000;;;;
080803;0000;;;;
080804;0000;;;;
080805;0000;;;;
080806;0000;;;;
080807;0000;;;;
080808;0000;;;;
080809;0000;;;;
080810;0000;;;;
080811;0000;;;;
080812;0000;;;;
080813;0000;;;;
080814;0000;;;;
080815;0000;;;;
080816;0000;;;;
080817;0000;;;;
080818;0000;;;;
080819;0000;;;;
080820;0000;;;;
080821;0000;;;;
080822;0000;;;;
080823;0000;;;;
080824;0000;;;;
080825;0000;;;;
080826;0000;;;;
080827;0000;;;;
080828;0000;;;;
080829;0000;;;;
080830;0000;;;;
080831;0000;;;;
080901;0000;;;;
080902;0000;;;;
080903;0000;;;;
080904;0000;;;;
080905;0000;;;;
080906;0000;;;;
080907;0000;;;;
080908;0000;;;;
080909;0000;;;;
080910;0000;;;;
080911;0000;;;;
080912;0000;;;;
080913;0000;;;;
080914;0000;;;;
080915;0000;;;;
080916;0000;;;;
080917;0000;;;;
080918;0000;;;;
080919;0000;;;;
080920;0000;;;;
080921;0000;;;;
080922;0000;;;;
080923;0000;;;;
080924;0000;;;;
080925;0000;;;;
080926;0000;;;;
080927;0000;;;;
080928;0000;;;;
080929;0000;;;;
080930;0000;;;;
081001;0000;;;;
081002;0000;;;;
081003;0000;;;;
081004;0000;;;;
081005;0000;;;;
081006;0000;;;;
081007;0000;;;;
081008;0000;;;;
081009;0000;;;;
081010;0000;;;;
081011;0000;;;;
081012;0000;;;;
081013;0000;;;;
081014;0000;;;;
081015;0000;;;;
081016;0000;;;;
081017;0000;;;;
081018;0000;;;;
081019;0000;;;;
081020;0000;;;;
081021;0000;;;;
081022;0000;;;;
081023;0000;;;;
081024;0000;;;;
081025;0000;;;;
081026;0000;;;;
081027;0000;;;;
081028;0000;;;;
081029;0000;;;;
081030;0000;;;;
081031;0000;;;;
081101;0000;;;;
081102;0000;;;;
081103;0000;;;;
081104;0000;;;;
081105;0000;;;;
081106;0000;;;;
081107;0000;;;;
081108;0000;;;;
081109;0000;;;;
081110;0000;;;;
081111;0000;;;;
081112;0000;;;;
081113;0000;;;;
081114;0000;;;;
081115;0000;;;;
081116;0000;;;;
081117;0000;;;;
081118;0000;;;;
081119;0000;;;;
081120;0000;;;;
081121;0000;;;;
081122;0000;;;;
081123;0000;;;;
081124;0000;;;;
081125;0000;;;;
081126;0000;;;;
081127;0000;;;;
081128;0000;;;;
081129;0000;;;;
081130;0000;;;;
081201;0000;;;;
081202;0000;;;;
081203;0000;;;;
081204;0000;;;;
081205;0000;;;;
081206;0000;;;;
081207;0000;;;;
081208;0000;;;;
081209;0000;;;;
081210;0000;;;;
081211;0000;;;;
081212;0000;;;;
081213;0000;;;;
081214;0000;;;;
081215;0000;;;;
081216;0000;;;;
081217;0000;;;;
081218;0000;;;;
081219;0000;;;;
081220;0000;;;;
081221;0000;;;;
081222;0000;;;;
081223;0000;;;;
081224;0000;;;;
081225;0000;;;;
081226;0000;;;;
081227;0000;;;;
081228;0000;;;;
081229;0000;;;;
081230;0000;;;;
081231;0000;;;;
090101;0000;23,7917;;;
090102;0000;20,625;;;
090103;0000;24,875;;;
090104;0000;22,1667;;;
090105;0000;18,2917;;;
090106;0000;10,75;;;
090107;0000;12,9583;;;
090108;0000;17,3333;;;
090109;0000;19,4167;;;
090110;0000;20,2083;;;
090111;0000;21,0417;;;
090112;0000;16,125;;;
090113;0000;21;;;
090114;0000;11,2083;;;
090115;0000;20,4167;;;
090116;0000;16,2083;;;
090117;0000;22,7917;;;
090118;0000;16,6667;;;
090119;0000;19,8333;;;
090120;0000;27,375;;;
090121;0000;23,625;;;
090122;0000;25;;;
090123;0000;33,2083;;;
090124;0000;19,2083;;;
090125;0000;16,8333;;;
090126;0000;20,9583;;;
090127;0000;27,5833;;;
090128;0000;31,75;;;
090129;0000;24,6667;;;
090130;0000;21,7917;;;
090131;0000;24,5833;;;
090201;0000;22,25;;;
090202;0000;17,875;;;
090203;0000;24,9583;;;
090204;0000;13,1667;;;
090205;0000;12,1667;;;
090206;0000;17,3333;;;
090207;0000;18,7083;;;
090208;0000;17,6667;;;
090209;0000;23,2917;;;
090210;0000;22,0417;;;
090211;0000;28,75;;;
090212;0000;32,625;;;
090213;0000;21,2917;;;
090214;0000;23,0417;;;
090215;0000;28,9583;;;
090216;0000;20,0833;;;
090217;0000;17,9583;;;
090218;0000;18,3333;;;
090219;0000;21,875;;;
090220;0000;17,8333;;;
090221;0000;12,9167;;;
090222;0000;18,4167;;;
090223;0000;22,5417;;;
090224;0000;20,5833;;;
090225;0000;22,7083;;;
090226;0000;23,9583;;;
090227;0000;23,7083;;;
090228;0000;22,0833;;;
090301;0000;14,5833;;;
090302;0000;14,4167;;;
090303;0000;14,5417;;;
090304;0000;13,4783;;;
090305;0000;21,5417;;;
090306;0000;23,1667;;;
090307;0000;19,7917;;;
090308;0000;19,4167;;;
090309;0000;23,4167;;;
090310;0000;24,9583;;;
090311;0000;25,3333;;;
090312;0000;24,5;;;
090313;0000;23,25;;;
090314;0000;25,2083;;;
090315;0000;20,5417;;;
090316;0000;19,4167;;;
090317;0000;17,2105;;;
090318;0000;26,125;;;
090319;0000;25,6667;;;
090320;0000;30,1667;;;
090321;0000;34,6666;;;
090322;0000;35,75;;;
090323;0000;27,5;;;
090324;0000;23,375;;;
090325;0000;26,3333;;;
090326;0000;33,3333;;;
090327;0000;25,9167;;;
090328;0000;33,7083;;;
090329;0000;15,1667;;;
090330;0000;21,5833;;;
090331;0000;28,75;;;
090401;0000;23,3478;;;
090402;0000;23,9583;;;
090403;0000;12,9583;;;
090404;0000;13,7917;;;
090405;0000;24,875;;;
090406;0000;33,4166;;;
090407;0000;28,8333;;;
090408;0000;33,4583;;;
090409;0000;28,2917;;;
090410;0000;26,4583;;;
090411;0000;26,5;;;
090412;0000;23,5833;;;
090413;0000;23,4583;;;
090414;0000;32,4583;;;
090415;0000;41,5416;;;
090416;0000;39,2083;;;
090417;0000;44,3333;;;
090418;0000;43,2083;;;
090419;0000;36,0833;;;
090420;0000;32,7083;;;
090421;0000;38,4583;;;
090422;0000;36;;;
090423;0000;24,5417;;;
090424;0000;36,375;;;
090425;0000;50,1666;;;
090426;0000;54,2083;;;
090427;0000;43,3333;;;
090428;0000;49,8095;;;
090429;0000;44,9166;;;
090430;0000;38,4166;;;
090501;0000;45,625;;;
090502;0000;40,6666;;;
090503;0000;27,4167;;;
090504;0000;22,75;;;
090505;0000;42;;;
090506;0000;44,7916;;;
090507;0000;44,125;;;
090508;0000;41,0833;;;
090509;0000;39,75;;;
090510;0000;64,4583;;;
090511;0000;81,6666;;;
090512;0000;53,0416;;;
090513;0000;28,5;;;
090514;0000;30,2917;;;
090515;0000;31,2917;;;
090516;0000;48,75;;;
090517;0000;19,2083;;;
090518;0000;22,125;;;
090519;0000;38,875;;;
090520;0000;55,9583;;;
090521;0000;56,7916;;;
090522;0000;45,75;;;
090523;0000;49,4166;;;
090524;0000;49,4583;;;
090525;0000;21,9583;;;
090526;0000;16,625;;;
090527;0000;45,1666;;;
090528;0000;42,7916;;;
090529;0000;43,7916;;;
090530;0000;45,875;;;
090531;0000;39,7083;;;
090601;0000;46,375;;;
090602;0000;56,0416;;;
090603;0000;66,2083;;;
090604;0000;67,0833;;;
090605;0000;56,4583;;;
090606;0000;69,5833;;;
090607;0000;50,2916;;;
090608;0000;69,5;;;
090609;0000;74,8333;;;
090610;0000;62,6666;;;
090611;0000;70,5416;;;
090612;0000;68,8333;;;
