FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970402;0000;111,565;;;
970403;0000;141,333;;;
970404;0000;156,95;;;
970405;0000;;;;
970406;0000;;;;
970407;0000;;;;
970408;0000;131,292;;;
970409;0000;176;;;
970410;0000;198,333;;;
970411;0000;162,042;;;
970412;0000;140,583;;;
970413;0000;134,5;;;
970414;0000;108,292;;;
970415;0000;113,167;;;
970416;0000;119,75;;;
970417;0000;126,917;;;
970418;0000;112,708;;;
970419;0000;101,25;;;
970420;0000;110,667;;;
970421;0000;84,125;;;
970422;0000;176,042;;;
970423;0000;118,583;;;
970424;0000;53,625;;;
970425;0000;138,917;;;
970426;0000;121,13;;;
970427;0000;126,739;;;
970428;0000;185,833;;;
970429;0000;161,792;;;
970430;0000;179,125;;;
970501;0000;161,409;;;
970502;0000;182,545;;;
970503;0000;196,25;;;
970504;0000;135,458;;;
970505;0000;200,25;;;
970506;0000;295,75;;;
970507;0000;188,792;;;
970508;0000;168,75;;;
970509;0000;218,583;;;
970510;0000;233,875;;;
970511;0000;196,25;;;
970512;0000;120,708;;;
970513;0000;194,958;;;
970514;0000;;;;
970515;0000;154,667;;;
970516;0000;67,625;;;
970517;0000;86,9583;;;
970518;0000;16,8333;;;
970519;0000;73,3635;;;
970520;0000;101,917;;;
970521;0000;52;;;
970522;0000;213,565;;;
970523;0000;146,833;;;
970524;0000;165,042;;;
970525;0000;177,25;;;
970526;0000;134,792;;;
970527;0000;193,167;;;
970528;0000;178,583;;;
970529;0000;22,5;;;
970530;0000;35,875;;;
970531;0000;142,583;;;
970601;0000;163,625;;;
970602;0000;144,13;;;
970603;0000;117,583;;;
970604;0000;17,9583;;;
970605;0000;42,8333;;;
970606;0000;238,273;;;
970607;0000;182,333;;;
970608;0000;188,25;;;
970609;0000;145;;;
970610;0000;124,5;;;
970611;0000;48,7083;;;
970612;0000;16,5;;;
970613;0000;73,4583;;;
970614;0000;42;;;
970615;0000;91,3333;;;
970616;0000;99,7083;;;
970617;0000;112,391;;;
970618;0000;75,375;;;
970619;0000;82,2083;;;
970620;0000;13,9167;;;
970621;0000;13,2083;;;
970622;0000;17,3333;;;
970623;0000;37,8333;;;
970624;0000;73,5833;;;
970625;0000;113,208;;;
970626;0000;125,375;;;
970627;0000;140,917;;;
970628;0000;166,542;;;
970629;0000;192,667;;;
970630;0000;248,304;;;
970701;0000;107,391;;;
